	CARD Sequence ID	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	NCBI Family
156	OXA-240	OXA-240	AFN20670.1	carbapenem/cephalosporin/penam	OXA-240	WP_063862274.1	beta-lactam	OXA-10 family class D beta-lactamase
157	OXA-360	OXA-360	AGZ83156.1	carbapenem/cephalosporin/penam	OXA-360	WP_048880934.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
158	OXA-194	OXA-194	AEB98920.1	carbapenem/cephalosporin/penam	OXA-194	WP_063861475.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
159	OXA-182	OXA-182	ADK92148.1	carbapenem/cephalosporin/penam	OXA-182	WP_063861266.1	carbapenem	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
160	OXA-176	OXA-176	ADI58620.1	carbapenem/cephalosporin/penam	OXA-176	WP_063861208.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
161	OXA-327	OXA-327	AGW16409.1	carbapenem/cephalosporin/penam	OXA-327	WP_063862656.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
162	OXA-248	OXA-248	CCJ32596.1	carbapenem/cephalosporin/penam	OXA-248	WP_063862402.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
163	OXA-354	OXA-354	AGW83452.1	carbapenem/cephalosporin/penam	OXA-354	WP_063862725.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
164	OXA-16	OXA-16	AAB97924.1	carbapenem/cephalosporin/penam	OXA	WP_064056056.1	beta-lactam	OXA-10 family extended-spectrum class D beta-lactamase
165	OXA-71	OXA-71	AAW81342.1	carbapenem/cephalosporin/penam	OXA-71	WP_001021785.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
166	OXA-141	OXA-141	ABQ15112.1	carbapenem/cephalosporin/penam	OXA-141	WP_058177653.1	cephalosporin	OXA-2 family extended-spectrum class D beta-lactamase
167	OXA-139	OXA-139	CAQ51348.1	carbapenem/cephalosporin/penam	OXA-139	WP_063861040.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
168	OXA-231	OXA-231	AFG29918.1	carbapenem/cephalosporin/penam	OXA-231	WP_063862128.1	carbapenem	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
169	OXA-397	OXA-397	AIT76118.1	carbapenem/cephalosporin/penam	OXA-397	WP_063862756.1	carbapenem	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
170	OXA-119	OXA-119	AAN41427.1	carbapenem/cephalosporin/penam	OXA-119	WP_032490445.1	beta-lactam	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
171	OXA-55	OXA-55	AAR03105.1	carbapenem/cephalosporin/penam	OXA-55	WP_063864256.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
172	OXA-192	OXA-192	ADZ54048.1	carbapenem/cephalosporin/penam	OXA-192	WP_063861316.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
173	OXA-210	OXA-210	AEE61368.1	carbapenem/cephalosporin/penam	OXA-210	WP_063861649.1	beta-lactam	OXA-2 family class D beta-lactamase
174	OXA-110	OXA-110	ABV31690.1	carbapenem/cephalosporin/penam	OXA-110	WP_063860940.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
175	OXA-82	OXA-82	ABV71248.1	carbapenem/cephalosporin/penam	OXA-82	WP_001021793.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
176	OXA-197	OXA-197	AEB98923.1	carbapenem/cephalosporin/penam	OXA-197	WP_063861490.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
177	OXA-111	OXA-111	ABV31691.1	carbapenem/cephalosporin/penam	OXA-111	WP_049068184.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
178	OXA-214	OXA-214	AEV91553.1	carbapenem/cephalosporin/penam	OXA-214	WP_008942158.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
179	OXA-65	OXA-65	AAW81337.1	carbapenem/cephalosporin/penam	OXA-65	WP_001021782.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
180	OXA-170	OXA-170	ADK35874.1	carbapenem/cephalosporin/penam	OXA-170	WP_063861151.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
181	OXA-53	OXA-53	AAP43641.1	carbapenem/cephalosporin/penam	OXA-53	WP_063864223.1	cephalosporin	OXA-2 family extended-spectrum class D beta-lactamase
182	OXA-166	OXA-166	ADK35870.1	carbapenem/cephalosporin/penam	OXA-166	WP_063861129.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
183	OXA-425	OXA-425	AJA32743.1	carbapenem/cephalosporin/penam	OXA-425	WP_038348957.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
184	OXA-251	OXA-251	AER57903.1	carbapenem/cephalosporin/penam	OXA-251	WP_063862430.1	beta-lactam	OXA-10 family class D beta-lactamase
185	OXA-233	OXA-233	AID67109.1	carbapenem/cephalosporin/penam	OXA-233	WP_063862149.1	carbapenem	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase
186	OXA-223	OXA-223	AEL88491.1	carbapenem/cephalosporin/penam	OXA-223	WP_001022758.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
187	OXA-313	OXA-313	AGU69251.1	carbapenem/cephalosporin/penam	OXA-313	WP_063862598.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
188	OXA-382	OXA-382	AHL30286.1	carbapenem/cephalosporin/penam	OXA-382	WP_063862747.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
189	OXA-99	OXA-99	ABI53716.1	carbapenem/cephalosporin/penam	OXA-99	WP_017816859.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
190	OXA-257	OXA-257	AGK07370.1	carbapenem/cephalosporin/penam	OXA-257	WP_063862441.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
191	OXA-11	OXA-11	CAA80304.1	carbapenem/cephalosporin/penam	OXA-11	WP_063860939.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
192	OXA-108	OXA-108	ABV31688.1	carbapenem/cephalosporin/penam	OXA-108	WP_063860938.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
193	OXA-315	OXA-315	AGU69253.1	carbapenem/cephalosporin/penam	OXA-315	WP_063862603.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
194	OXA-390	OXA-390	AHL30283.1	carbapenem/cephalosporin/penam	OXA-390	WP_063862754.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
195	OXA-388	OXA-388	AHL30284.1	carbapenem/cephalosporin/penam	OXA-388	WP_063862752.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
196	OXA-121	OXA-121	AGU69248.1	carbapenem/cephalosporin/penam	OXA-121	WP_057094079.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
197	OXA-19	OXA-19	AAD02245.1	carbapenem/cephalosporin/penam	OXA-19	WP_063861309.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
198	OXA-62	OXA-62	AAR32134.1	carbapenem/cephalosporin/penam	OXA-62	WP_063864527.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
199	OXA-172	OXA-172	ADI58616.1	carbapenem/cephalosporin/penam	OXA-172	WP_039099030.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
200	OXA-89	OXA-89	ABE03012.1	carbapenem/cephalosporin/penam	OXA-89	WP_063864541.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
201	OXA-131	OXA-131	ACD84989.1	carbapenem/cephalosporin/penam	OXA-131	WP_063861037.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
202	OXA-454	OXA-454	BAR45714.1	carbapenem/cephalosporin/penam	OXA-454	WP_063864086.1	beta-lactam	OXA-10 family class D beta-lactamase
203	OXA-59	OXA-59	CAG15145.1	carbapenem/cephalosporin/penam	OXA-59	WP_004524931.1	beta-lactam	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
204	OXA-224	OXA-224	AEQ73521.1	carbapenem/cephalosporin/penam	OXA-224	WP_063861812.1	beta-lactam	OXA-1 family class D beta-lactamase
205	OXA-209	OXA-209	AEM66528.1	carbapenem/cephalosporin/penam	OXA-209	WP_014053563.1	beta-lactam	class D beta-lactamase
206	OXA-423	OXA-423	AIY30332.1	carbapenem/cephalosporin/penam	OXA-423	WP_063862833.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
207	OXA-33	OXA-33	AAG23871.1	carbapenem/cephalosporin/penam	OXA	WP_032491311.1	beta-lactam	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
208	OXA-67	OXA-67	ABF50983.1	carbapenem/cephalosporin/penam	OXA-67	WP_063864529.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
209	OXA-249	OXA-249	CCJ32597.1	carbapenem/cephalosporin/penam	OXA-249	WP_063862408.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
210	OXA-421	OXA-421	AIZ00987.1	carbapenem/cephalosporin/penam	OXA-421	WP_017386798.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
211	OXA-78	OXA-78	AAW81358.1	carbapenem/cephalosporin/penam	OXA-78	WP_005139262.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
212	OXA-183	OXA-183	ADV41666.1	carbapenem/cephalosporin/penam	OXA-183	WP_063861272.1	beta-lactam	OXA-10 family class D beta-lactamase
213	OXA-205	OXA-205	AEO92079.1	carbapenem/cephalosporin/penam	OXA-205	WP_063861588.1	beta-lactam	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
214	OXA-91	OXA-91	ABF47914.1	carbapenem/cephalosporin/penam	OXA-91	WP_001021776.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
215	OXA-17	OXA-17	ABI63579.1	carbapenem/cephalosporin/penam	OXA-17	WP_032491804.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
216	OXA-10	OXA-10	AAG45720.1	carbapenem/cephalosporin/penam	OXA-10	WP_000846390.1	cephalosporin	oxacillin-hydrolyzing class D beta-lactamase
217	OXA-24	OXA-24	AAM34291.1	carbapenem/cephalosporin/monobactam/penam	OXA-24	WP_012754353.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
218	OXA-101	OXA-101	CAL85435.1	carbapenem/cephalosporin/penam	OXA-101	WP_063860937.1	cephalosporin	OXA-10 family class D beta-lactamase
219	OXA-74	OXA-74	CAH69530.1	carbapenem/cephalosporin/penam	OXA-74	WP_063864532.1	beta-lactam	OXA-10 family class D beta-lactamase
220	OXA-362	OXA-362	AHA11125.1	carbapenem/cephalosporin/penam	OXA-362	WP_063862732.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
221	OXA-179	OXA-179	ADM26744.1	carbapenem/cephalosporin/penam	OXA-179	WP_063861229.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
222	OXA-203	OXA-203	ADX07748.1	carbapenem/cephalosporin/penam	OXA-203	WP_063861567.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
223	OXA-258	OXA-258	CCE73593.2	carbapenem/cephalosporin/penam	OXA-258	WP_063569909.1	beta-lactam	class D beta-lactamase
224	OXA-375	OXA-375	AHL30275.1	carbapenem/cephalosporin/penam	OXA-375	WP_063862741.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
225	OXA-49	OXA-49	AAP40270.1	carbapenem/cephalosporin/penam	OXA-49	WP_063864111.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
226	OXA-34	OXA-34	AAK15582.1	carbapenem/cephalosporin/penam	OXA	WP_001007673.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
227	OXA-317	OXA-317	AGU69255.1	carbapenem/cephalosporin/penam	OXA-317	WP_001021778.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
228	OXA-353	OXA-353	AGW83451.1	carbapenem/cephalosporin/penam	OXA-353	WP_063862724.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
229	OXA-142	OXA-142	ABY79006.1	carbapenem/cephalosporin/penam	OXA-142	WP_063861041.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
230	OXA-73	OXA-73	AAW22056.1	carbapenem/cephalosporin/penam	OXA-73	WP_063864531.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
231	OXA-398	OXA-398	AIT76095.1	carbapenem/cephalosporin/penam	OXA-398	WP_063862757.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
232	OXA-230	OXA-230	AFM55002.1	carbapenem/cephalosporin/penam	OXA-230	WP_063862119.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
233	OXA-42	OXA-42	CAD32564.1	carbapenem/cephalosporin/penam	OXA-42	WP_063862802.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
234	OXA-235	OXA-235	AFH36330.1	carbapenem/cephalosporin/penam	OXA-235	WP_000854009.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
235	OXA-415	OXA-415	AIG94927.1	carbapenem/cephalosporin/penam	OXA-415	WP_034033256.1	beta-lactam	OXA-2 family class D beta-lactamase
236	OXA-359	OXA-359	AGZ83155.1	carbapenem/cephalosporin/penam	OXA-359	WP_063862730.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
237	OXA-338	OXA-338	AHN07454.1	carbapenem/cephalosporin/penam	OXA-338	WP_063862710.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
238	OXA-254	OXA-254	BAN10684.1	carbapenem/cephalosporin/penam	OXA-254	WP_033841866.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
239	OXA-326	OXA-326	AGW16408.1	carbapenem/cephalosporin/penam	OXA-326	WP_063862651.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
240	OXA-351	OXA-351	AGW83449.1	carbapenem/cephalosporin/penam	OXA-351	WP_063862722.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
241	OXA-97	OXA-97	ABO33299.1	carbapenem/cephalosporin/penam	OXA-97	WP_063864544.1	carbapenem	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
242	OXA-56	OXA-56	AAR32651.1	carbapenem/cephalosporin/penam	OXA-56	WP_063864264.1	beta-lactam	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
243	OXA-177	OXA-177	ADI58621.1	carbapenem/cephalosporin/penam	OXA-177	WP_063861213.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
244	OXA-146	OXA-146	ACI28281.1	carbapenem/cephalosporin/penam	OXA-146	WP_063861044.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
245	OXA-334	OXA-334	AGW16416.1	carbapenem/cephalosporin/penam	OXA-334	WP_063862698.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
246	OXA-168	OXA-168	ADK35872.1	carbapenem/cephalosporin/penam	OXA-168	WP_063861136.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
247	OXA-107	OXA-107	ABV31687.1	carbapenem/cephalosporin/penam	OXA-107	WP_046661070.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
248	OXA-14	OXA-14	AHX74209.1	carbapenem/cephalosporin/penam	OXA-14	WP_064056056.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
249	OXA-70	OXA-70	AAW81341.1	carbapenem/cephalosporin/penam	OXA-70	WP_032000166.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
250	OXA-374	OXA-374	AHL30274.1	carbapenem/cephalosporin/penam	OXA-374	WP_032051604.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
251	OXA-201	OXA-201	ADX07746.1	carbapenem/cephalosporin/penam	OXA-201	WP_063861553.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
252	OXA-76	OXA-76	AAX51234.1	carbapenem/cephalosporin/penam	OXA-76	WP_063864533.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
253	OXA-128	OXA-128	ABY77907.1	carbapenem/cephalosporin/penam	OXA-128	WP_005120067.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
254	OXA-312	OXA-312	AGU69250.1	carbapenem/cephalosporin/penam	OXA-312	WP_001021787.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
255	OXA-20	OXA-20	ACC55538.1	carbapenem/cephalosporin/penam	OXA-20	WP_000586782.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
256	OXA-387	OXA-387	AHK51384.1	carbapenem/cephalosporin/penam	OXA-387	WP_063862751.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
257	OXA-165	OXA-165	ADK35869.1	carbapenem/cephalosporin/penam	OXA-165	WP_063861123.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
258	OXA-109	OXA-109	ABV31689.1	carbapenem/cephalosporin/penam	OXA-109	WP_001021794.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
259	OXA-66	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam	OXA-66	WP_001021792.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
260	OXA-389	OXA-389	AHL30287.1	carbapenem/cephalosporin/penam	OXA-389	WP_063862753.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
261	OXA-196	OXA-196	AEB98922.1	carbapenem/cephalosporin/penam	OXA-196	WP_063861486.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
262	OXA-72	OXA-72	ADB28892.1	carbapenem/cephalosporin/penam	OXA-72	WP_000713530.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
263	OXA-80	OXA-80	ABV71247.1	carbapenem/cephalosporin/penam	OXA-80	WP_063864536.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
264	OXA-114a	OXA-114a	ABX38721.1	carbapenem/cephalosporin/penam	OXA-114a	WP_054505840.1	beta-lactam	class D beta-lactamase
265	OXA-379	OXA-379	AHL30279.1	carbapenem/cephalosporin/penam	OXA-379	WP_063862744.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
266	OXA-246	OXA-246	AHC31001.1	carbapenem/cephalosporin/penam	OXA-246	WP_063862394.1	beta-lactam	OXA-10 family class D beta-lactamase
267	OXA-50	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam	OXA-50	WP_003099707.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
268	OXA-118	OXA-118	AAK55330.1	carbapenem/cephalosporin/penam	OXA-118	WP_063861020.1	beta-lactam	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
269	OXA-1	OXA-1	AFB82783.1	carbapenem/cephalosporin/penam	OXA-1	WP_001334766.1	cephalosporin	oxacillin-hydrolyzing class D beta-lactamase
270	OXA-29	OXA-29	CAC35728.1	carbapenem/cephalosporin/penam	OXA-29	WP_014845076.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
271	OXA-47	OXA-47	AAP69225.1	carbapenem/cephalosporin/penam	OXA-47	WP_063864092.1	beta-lactam	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
272	OXA-116	OXA-116	ABW95047.1	carbapenem/cephalosporin/penam	OXA	WP_122630900.1	beta-lactam	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
273	OXA-149	OXA-149	ACX31141.1	carbapenem/cephalosporin/penam	OXA-149	WP_063861047.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
274	OXA-200	OXA-200	ADX07745.1	carbapenem/cephalosporin/penam	OXA-200	WP_063861547.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
275	OXA-247	OXA-247	AGC70814.1	carbapenem/cephalosporin/penam	OXA-247	WP_032495595.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
276	OXA-309	OXA-309	CCW28916.1	carbapenem/cephalosporin/penam	OXA-309	WP_063862593.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
277	OXA-250	OXA-250	CCJ32598.1	carbapenem/cephalosporin/penam	OXA-250	WP_063862420.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
278	OXA-335	OXA-335	AGW16417.1	carbapenem/cephalosporin/penam	OXA-335	WP_063862702.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
279	OXA-370	OXA-370	AHF71363.1	carbapenem/cephalosporin/penam	OXA-370	WP_032495789.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
280	OXA-213	OXA-213	AEV91552.1	carbapenem/cephalosporin/penam	OXA-213	WP_005047495.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
281	OXA-132	OXA-132	ACD84990.1	carbapenem/cephalosporin/penam	OXA-132	WP_032030965.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
282	OXA-84	OXA-84	ABC26006.1	carbapenem/cephalosporin/penam	OXA-84	WP_063864537.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
283	OXA-173	OXA-173	ADI58617.1	carbapenem/cephalosporin/penam	OXA-173	WP_063861179.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
284	OXA-424	OXA-424	AJA32742.1	carbapenem/cephalosporin/penam	OXA-424	WP_038348285.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
285	OXA-322	OXA-322	AGW16404.1	carbapenem/cephalosporin/penam	OXA-322	WP_063862632.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
286	OXA-57	OXA-57	CAF74882.1	carbapenem/cephalosporin/penam	OXA-57	WP_004547230.1	beta-lactam	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
287	OXA-331	OXA-331	AGW16413.1	carbapenem/cephalosporin/penam	OXA-331	WP_063862682.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
288	OXA-287	OXA-287	WP_032865068.1	carbapenem/cephalosporin/penam	OXA-287	WP_032865068.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
289	OXA-480	OXA-480	ALL53530.1	carbapenem/cephalosporin/penam	OXA-480	WP_063864106.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
290	OXA-288	OXA-288	ENX60508.1	carbapenem/cephalosporin/penam	OXA-288	WP_005201559.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
291	OXA-346	OXA-346	AHN07464.1	carbapenem/cephalosporin/penam	OXA-346	WP_063862717.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
292	OXA-439	OXA-439	AKR53961.1	carbapenem/cephalosporin/penam	OXA-439	WP_063864081.1	beta-lactam	OXA-48 family extended-spectrum class D beta-lactamase
293	OXA-477	OXA-477	ALC79292.1	carbapenem/cephalosporin/penam	OXA-477	WP_063864100.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
294	OXA-364	OXA-364	AFR53898.2	carbapenem/cephalosporin/penam	OXA-364	WP_063862734.1	beta-lactam	OXA-364 family class D beta-lactamase
295	OXA-440	OXA-440	AKR53962.1	carbapenem/cephalosporin/penam	OXA-440	WP_063864082.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
296	OXA-478	OXA-478	ALC79293.1	carbapenem/cephalosporin/penam	OXA-478	WP_063864101.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
297	OXA-368	OXA-368	AMB19637.1	carbapenem/cephalosporin/penam	OXA-368	WP_099156044.1	beta-lactam	OXA-10 family class D beta-lactamase
298	OXA-291	OXA-291	ENW94121.1	carbapenem/cephalosporin/penam	OXA-291	WP_005185807.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
299	OXA-372	OXA-372	AIG22448.1	carbapenem/cephalosporin/penam	OXA-372	WP_063862739.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
300	OXA-441	OXA-441	AFZ84684.1	carbapenem/cephalosporin/penam	OXA-441	WP_032037742.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
301	OXA-479	OXA-479	ALC79294.1	carbapenem/cephalosporin/penam	OXA-479	WP_063864102.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
302	OXA-296	OXA-296	ENU21024.1	carbapenem/cephalosporin/penam	OXA-296	WP_004650739.1	beta-lactam	class D beta-lactamase
303	OXA-292	OXA-292	ENX53612.1	carbapenem/cephalosporin/penam	OXA-292	WP_005209448.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
304	OXA-373	OXA-373	CDM87362.1	carbapenem/cephalosporin/penam	OXA-373	WP_063862740.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
305	OXA-442	OXA-442	AKU37610.1	carbapenem/cephalosporin/penam	OXA-442	WP_063864083.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
306	OXA-293	OXA-293	WP_032877719.1	carbapenem/cephalosporin/penam	OXA-293	WP_032877719.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
307	OXA-392	OXA-392	AAN41430.1	carbapenem/cephalosporin/penam	OXA-392	WP_032490448.1	beta-lactam	OXA-1 family class D beta-lactamase
308	OXA-294	OXA-294	ENU93232.1	carbapenem/cephalosporin/penam	OXA-294	WP_004776204.1	beta-lactam	class D beta-lactamase
309	OXA-400	OXA-400	AIS39036.1	carbapenem/cephalosporin/penam	OXA-400	WP_063862758.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
310	OXA-443	OXA-443	PLT17746.1	carbapenem/cephalosporin/penam	OXA-443	WP_045219048.1	beta-lactam	OXA-22 family class D beta-lactamase
311	OXA-482	OXA-482	AKF41839.1	carbapenem/cephalosporin/penam	OXA-482	WP_063864108.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
312	OXA-402	OXA-402	AIS39035.1	carbapenem/cephalosporin/penam	OXA-402	WP_001021789.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
313	OXA-261	OXA-261	ENW35072.1	carbapenem/cephalosporin/penam	OXA-261	WP_005111033.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
314	OXA-295	OXA-295	ENX19403.1	carbapenem/cephalosporin/penam	OXA-295	WP_005260134.1	beta-lactam	OXA-294 family class D beta-lactamase
