Accession	NCBI Family
ALA99191.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
EPH38243.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
ENU21708.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
ENV45890.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
RIL13772.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
OWG16436.1	OXA-10 family class D beta-lactamase
ARO85965.1	carbapenem-hydrolyzing class D beta-lactamase
AKI29913.1	OXA-184 family class D beta-lactamase
ALA99192.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
ENU35234.1	class D beta-lactamase
AHN07456.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AJG01375.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC79285.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
CAB76928.1	OXA-12 family class D beta-lactamase
AFO09969.1	OXA-184 family class D beta-lactamase
ENV74419.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
OTK94966.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC79286.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_038350216.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENU38533.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
AHN07458.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AJG01377.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC79287.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
ASF15667.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
EKE23052.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AHN07460.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AJG01378.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC79288.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
AGV04655.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENU15301.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
PCE45447.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AJG01379.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC79289.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
ENU54757.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENX16434.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AHN07462.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKL59536.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
ALC79290.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
ENX26326.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AHN07463.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKL59521.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
ALC79291.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
QEE23059.1	class D beta-lactamase
QHT72949.1	OXA-22 family class D beta-lactamase
QHT72948.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
QEJ80883.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
QIC04089.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
QEJ80887.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
KEC85091.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
QBQ03043.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
QBQ03037.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
OPD39420.1	OXA-2 family class D beta-lactamase
AHN60085.1	OXA-2 family class D beta-lactamase
WP_122634438.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
QEJ74001.1	OXA-2 family class D beta-lactamase
WP_071593233.1	OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase
OPD39435.1	OXA-2 family class D beta-lactamase
WP_122630881.1	OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase
WP_122630856.1	OXA-2 family class D beta-lactamase
CAQ77073.1	OXA-2 family class D beta-lactamase
WP_148044422.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
WP_114268491.1	class D beta-lactamase
WP_102607462.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
WP_064808881.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
WP_102607463.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
WP_023271137.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_081401608.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_016162389.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_190259776.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_151781119.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_100886243.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_109545072.1	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase
WP_064483990.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_168370988.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423316.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_039902635.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_109545071.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_164461290.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_087554513.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864112.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423318.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_006384924.1	class D beta-lactamase
WP_054448427.1	class D beta-lactamase
WP_063860980.1	class D beta-lactamase
WP_049058560.1	class D beta-lactamase
WP_024069684.1	class D beta-lactamase
WP_063861000.1	class D beta-lactamase
WP_053498400.1	class D beta-lactamase
WP_026382828.1	class D beta-lactamase
WP_054437016.1	class D beta-lactamase
WP_136512073.1	class D beta-lactamase
WP_054517040.1	class D beta-lactamase
WP_054471662.1	class D beta-lactamase
WP_136512074.1	class D beta-lactamase
WP_076412384.1	class D beta-lactamase
WP_136512075.1	class D beta-lactamase
WP_136512076.1	class D beta-lactamase
WP_136512077.1	class D beta-lactamase
WP_136512078.1	class D beta-lactamase
WP_136512079.1	class D beta-lactamase
WP_136512080.1	class D beta-lactamase
WP_136512081.1	class D beta-lactamase
WP_136512082.1	class D beta-lactamase
WP_063861087.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_002783228.1	OXA-61 family class D beta-lactamase
WP_032879257.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_015649877.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_016852290.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_002791310.1	OXA-61 family class D beta-lactamase
WP_020848173.1	class D beta-lactamase
WP_012662081.1	class D beta-lactamase
WP_003118452.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_058061931.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063454569.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_002121386.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864113.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_032003497.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864114.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864115.1	class D beta-lactamase
WP_063864118.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_032007272.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864138.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864150.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864158.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981635.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981636.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864184.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864194.1	OXA-364 family class D beta-lactamase
WP_094009803.1	OXA-48 family class D beta-lactamase
WP_094009804.1	OXA-48 family class D beta-lactamase
WP_063864208.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562384.1	OXA-48 family class D beta-lactamase
WP_063864216.1	OXA-493 family class D beta-lactamase
WP_094009808.1	OXA-48 family class D beta-lactamase
WP_065159014.1	OXA-10 family class D beta-lactamase
WP_065419572.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981637.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981638.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981639.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981640.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981641.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981642.1	class D beta-lactamase
WP_068981643.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981644.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981645.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981646.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068981647.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_068611377.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_069280711.1	OXA-1 family class D beta-lactamase
WP_070064535.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_070064536.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_071593227.1	OXA-48 family class D beta-lactamase
WP_109545048.1	carbapenem-hydrolyzing class D beta-lactamase
WP_085562402.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_087587945.1	OXA-48 family class D beta-lactamase
WP_085562403.1	OXA-48 family class D beta-lactamase
WP_087587939.1	class D beta-lactamase
WP_087587940.1	OXA-548 family class D beta-lactamase
WP_087587941.1	OXA-548 family class D beta-lactamase
WP_087587942.1	OXA-548 family class D beta-lactamase
WP_087587943.1	OXA-548 family class D beta-lactamase
WP_087587944.1	OXA-548 family class D beta-lactamase
WP_085562408.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562409.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562410.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562411.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562412.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562413.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562414.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562415.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562416.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562417.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562418.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562421.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_094009811.1	OXA-48 family class D beta-lactamase
WP_099156052.1	OXA-48 family class D beta-lactamase
WP_099337823.1	class D beta-lactamase
WP_102607461.1	OXA-22 family class D beta-lactamase
WP_102607464.1	OXA-22 family class D beta-lactamase
WP_064808581.1	OXA-22 family class D beta-lactamase
WP_104009853.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
WP_087696200.1	class D beta-lactamase
WP_109545091.1	OXA-61 family class D beta-lactamase
WP_002812372.1	OXA-61 family class D beta-lactamase
WP_002837769.1	OXA-61 family class D beta-lactamase
WP_025006557.1	OXA-61 family class D beta-lactamase
WP_052788887.1	OXA-61 family class D beta-lactamase
WP_109545107.1	OXA-61 family class D beta-lactamase
WP_052781249.1	OXA-61 family class D beta-lactamase
WP_109545088.1	OXA-61 family class D beta-lactamase
WP_109545089.1	OXA-61 family class D beta-lactamase
WP_109545090.1	OXA-61 family class D beta-lactamase
WP_109545092.1	OXA-61 family class D beta-lactamase
WP_109545095.1	OXA-61 family class D beta-lactamase
WP_109545096.1	OXA-61 family class D beta-lactamase
WP_109545103.1	OXA-61 family class D beta-lactamase
WP_002889704.1	OXA-61 family class D beta-lactamase
WP_002857546.1	OXA-61 family class D beta-lactamase
WP_109545097.1	OXA-61 family class D beta-lactamase
WP_044600959.1	OXA-61 family class D beta-lactamase
WP_002824679.1	OXA-61 family class D beta-lactamase
WP_109545093.1	OXA-61 family class D beta-lactamase
WP_052800105.1	OXA-61 family class D beta-lactamase
WP_109545101.1	OXA-61 family class D beta-lactamase
WP_109545098.1	OXA-61 family class D beta-lactamase
WP_109545094.1	OXA-61 family class D beta-lactamase
WP_052803794.1	OXA-61 family class D beta-lactamase
WP_109545105.1	OXA-61 family class D beta-lactamase
WP_053921012.1	OXA-61 family class D beta-lactamase
WP_109545104.1	OXA-61 family class D beta-lactamase
WP_109545108.1	OXA-61 family class D beta-lactamase
WP_109545106.1	OXA-61 family class D beta-lactamase
WP_109545102.1	OXA-61 family class D beta-lactamase
WP_109545087.1	OXA-61 family class D beta-lactamase
WP_052798312.1	OXA-61 family class D beta-lactamase
WP_109545099.1	OXA-61 family class D beta-lactamase
WP_052788483.1	OXA-61 family class D beta-lactamase
WP_109545100.1	OXA-61 family class D beta-lactamase
WP_109545111.1	OXA-184 family class D beta-lactamase
WP_070233680.1	OXA-184 family class D beta-lactamase
WP_109545115.1	OXA-184 family class D beta-lactamase
WP_109545110.1	OXA-184 family class D beta-lactamase
WP_109545114.1	OXA-184 family class D beta-lactamase
WP_109545113.1	OXA-184 family class D beta-lactamase
WP_109545075.1	OXA-184 family class D beta-lactamase
WP_109545076.1	OXA-184 family class D beta-lactamase
WP_109545116.1	OXA-184 family class D beta-lactamase
WP_109545112.1	OXA-184 family class D beta-lactamase
WP_002936877.1	OXA-184 family class D beta-lactamase
WP_088303859.1	OXA-184 family class D beta-lactamase
WP_052794776.1	OXA-184 family class D beta-lactamase
WP_109545080.1	OXA-184 family class D beta-lactamase
WP_109545081.1	OXA-184 family class D beta-lactamase
WP_109545083.1	OXA-184 family class D beta-lactamase
WP_057036510.1	OXA-184 family class D beta-lactamase
WP_109545085.1	OXA-184 family class D beta-lactamase
WP_109545079.1	OXA-184 family class D beta-lactamase
WP_109545086.1	OXA-184 family class D beta-lactamase
WP_109545082.1	OXA-184 family class D beta-lactamase
WP_109545084.1	OXA-184 family class D beta-lactamase
WP_109545078.1	OXA-184 family class D beta-lactamase
WP_109545077.1	OXA-184 family class D beta-lactamase
WP_052858477.1	OXA-184 family class D beta-lactamase
WP_044779552.1	OXA-184 family class D beta-lactamase
WP_053872444.1	OXA-184 family class D beta-lactamase
WP_109545109.1	OXA-184 family class D beta-lactamase
WP_014206564.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423312.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423313.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423314.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423317.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_058870660.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_058951457.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_109791216.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630842.1	OXA-10 family class D beta-lactamase
WP_122630843.1	OXA-10 family class D beta-lactamase
WP_111672907.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_070210118.1	OXA-184 family class D beta-lactamase
WP_114699276.1	OXA-61 family class D beta-lactamase
WP_114699279.1	OXA-61 family class D beta-lactamase
WP_114699273.1	OXA-266 family class D beta-lactamase
WP_114699274.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_092689909.1	class D beta-lactamase
WP_096735335.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
WP_056517622.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
WP_016651348.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_081406929.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630857.1	OXA-1 family class D beta-lactamase
WP_122630858.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_122630859.1	OXA-10 family class D beta-lactamase
WP_122630860.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_122634439.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630864.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630884.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630885.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630886.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630887.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630888.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630889.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630890.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630891.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630892.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630893.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630894.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630895.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630896.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630897.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630898.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630899.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630900.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630901.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630902.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630903.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630904.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630905.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630906.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630907.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630908.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630909.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630916.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630917.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630918.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630919.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630920.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630921.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630922.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_016685888.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_031998610.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032018141.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630910.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630911.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630912.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630913.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630914.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630915.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_101150415.1	OXA-12 family class D beta-lactamase
WP_114272532.1	OXA-727 family class D beta-lactamase
WP_116786835.1	OXA-727 family class D beta-lactamase
WP_114699266.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_116786836.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_116786833.1	OXA-48 family class D beta-lactamase
WP_072678505.1	class D beta-lactamase
WP_122630844.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630853.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630854.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630855.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_128268238.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_114225343.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268239.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268240.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268241.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268242.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268243.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268244.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268245.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268246.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268247.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268248.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268249.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268250.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268251.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268252.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268253.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268254.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268255.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268256.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268257.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268258.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268259.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268260.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268261.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268262.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268263.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268264.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268265.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268266.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268267.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268268.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268269.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268270.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268271.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268272.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268273.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268274.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268275.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630923.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630924.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_049637206.1	class D beta-lactamase
WP_128268276.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268277.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_128268278.1	OXA-184 family class D beta-lactamase
WP_065980086.1	OXA-61 family class D beta-lactamase
WP_126205827.1	OXA-184 family class D beta-lactamase
WP_128268279.1	OXA-61 family class D beta-lactamase
WP_136512083.1	OXA-364 family class D beta-lactamase
WP_136512084.1	OXA-48 family class D beta-lactamase
WP_054500785.1	OXA-364 family class D beta-lactamase
WP_136512085.1	OXA-48 family class D beta-lactamase
WP_136512086.1	OXA-10 family class D beta-lactamase
WP_136512087.1	OXA-10 family class D beta-lactamase
WP_110612827.1	OXA-1 family class D beta-lactamase
WP_136512088.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512089.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512090.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512091.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512092.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512093.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512094.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512095.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512096.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512097.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512098.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512099.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512100.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512101.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512102.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_005404206.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_005405613.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_111280830.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_026444036.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_075040046.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_032053762.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_032057042.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_057061999.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_133973918.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512103.1	OXA-10 family class D beta-lactamase
WP_136512104.1	OXA-10 family class D beta-lactamase
WP_140423319.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423320.1	OXA-10 family class D beta-lactamase
WP_140423321.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423322.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315468.1	extended-spectrum class D beta-lactamase
WP_140423323.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_086264536.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_140423324.1	OXA-48 family class D beta-lactamase
WP_125052736.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_148044423.1	OXA-10 family class D beta-lactamase
WP_150823471.1	OXA-114 family class D beta-lactamase
WP_150823472.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_150823473.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_087088911.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
