	NCBI Sequence ID	NCBI Sequence Accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class
200	OXA-442	WP_063864083.1	OXA-442	WP_063864083.1	carbapenem	OXA-442	AKU37610.1	carbapenem/cephalosporin/penam
201	OXA-446	WP_063864084.1	OXA-446	WP_063864084.1	beta-lactam	OXA-446	AKI29907.1	carbapenem/cephalosporin/penam
202	OXA-448	WP_063864085.1	OXA-448	WP_063864085.1	beta-lactam	OXA-448	AKI29909.1	carbapenem/cephalosporin/penam
203	OXA-454	WP_063864086.1	OXA-454	WP_063864086.1	beta-lactam	OXA-454	BAR45714.1	carbapenem/cephalosporin/penam
204	OXA-457	WP_063864087.1	OXA-457	WP_063864087.1	beta-lactam	OXA-457	ALC76098.1	carbapenem/cephalosporin/penam
205	OXA-458	WP_063864088.1	OXA-458	WP_063864088.1	beta-lactam	OXA-458	ALC76100.1	carbapenem/cephalosporin/penam
206	OXA-459	WP_063864089.1	OXA-459	WP_063864089.1	beta-lactam	OXA-459	ALC76101.1	carbapenem/cephalosporin/penam
207	OXA-46	WP_063864090.1	OXA-46	WP_063864090.1	beta-lactam	OXA-46	AFP97030.1	carbapenem/cephalosporin/penam
208	OXA-466	WP_063864091.1	OXA-466	WP_063864091.1	beta-lactam	OXA-466	AKI29913.1	carbapenem/cephalosporin/penam
209	OXA-47	WP_063864092.1	OXA-47	WP_063864092.1	beta-lactam	OXA-47	AAP69225.1	carbapenem/cephalosporin/penam
210	OXA-470	WP_063864093.1	OXA-470	WP_063864093.1	beta-lactam	OXA-470	ALC79285.1	carbapenem/cephalosporin/penam
211	OXA-471	WP_063864094.1	OXA-471	WP_063864094.1	beta-lactam	OXA-471	ALC79286.1	carbapenem/cephalosporin/penam
212	OXA-472	WP_063864095.1	OXA-472	WP_063864095.1	beta-lactam	OXA-472	ALC79287.1	carbapenem/cephalosporin/penam
213	OXA-473	WP_063864096.1	OXA-473	WP_063864096.1	beta-lactam	OXA-473	ALC79288.1	carbapenem/cephalosporin/penam
214	OXA-474	WP_063864097.1	OXA-474	WP_063864097.1	beta-lactam	OXA-474	ALC79289.1	carbapenem/cephalosporin/penam
215	OXA-475	WP_063864098.1	OXA-475	WP_063864098.1	beta-lactam	OXA-475	ALC79290.1	carbapenem/cephalosporin/penam
216	OXA-476	WP_063864099.1	OXA-476	WP_063864099.1	beta-lactam	OXA-476	ALC79291.1	carbapenem/cephalosporin/penam
217	OXA-477	WP_063864100.1	OXA-477	WP_063864100.1	beta-lactam	OXA-477	ALC79292.1	carbapenem/cephalosporin/penam
218	OXA-478	WP_063864101.1	OXA-478	WP_063864101.1	beta-lactam	OXA-478	ALC79293.1	carbapenem/cephalosporin/penam
219	OXA-479	WP_063864102.1	OXA-479	WP_063864102.1	beta-lactam	OXA-479	ALC79294.1	carbapenem/cephalosporin/penam
220	OXA-480	WP_063864106.1	OXA-480	WP_063864106.1	carbapenem	OXA-480	ALL53530.1	carbapenem/cephalosporin/penam
221	OXA-482	WP_063864108.1	OXA-482	WP_063864108.1	carbapenem	OXA-482	AKF41839.1	carbapenem/cephalosporin/penam
222	OXA-483	WP_063864109.1	OXA-483	WP_063864109.1	carbapenem	OXA-483	AKF41840.1	carbapenem/cephalosporin/penam
223	OXA-484	WP_063864110.1	OXA-484	WP_063864110.1	carbapenem	OXA-484	ALI16502.1	carbapenem/cephalosporin/penam
224	OXA-49	WP_063864111.1	OXA-49	WP_063864111.1	carbapenem	OXA-49	AAP40270.1	carbapenem/cephalosporin/penam
225	OXA-499	WP_063864112.1	OXA-499	WP_063864112.1	carbapenem	OXA-499	WP_063864112.1	carbapenem/cephalosporin/penam
226	OXA-501	WP_063864113.1	OXA-501	WP_063864113.1	carbapenem	OXA-501	WP_063864113.1	carbapenem/cephalosporin/penam
227	OXA-503	WP_063864114.1	OXA-503	WP_063864114.1	carbapenem	OXA-503	WP_063864114.1	carbapenem/cephalosporin/penam
228	OXA-504	WP_063864115.1	OXA-504	WP_063864115.1	beta-lactam	OXA-504	WP_063864115.1	carbapenem/cephalosporin/penam
229	OXA-505	WP_063864118.1	OXA-505	WP_063864118.1	carbapenem	OXA-505	WP_063864118.1	carbapenem/cephalosporin/penam
230	OXA-507	WP_063864138.1	OXA-507	WP_063864138.1	carbapenem	OXA-507	WP_063864138.1	carbapenem/cephalosporin/penam
231	OXA-508	WP_063864150.1	OXA-508	WP_063864150.1	carbapenem	OXA-508	WP_063864150.1	carbapenem/cephalosporin/penam
232	OXA-509	WP_063864158.1	OXA-509	WP_063864158.1	carbapenem	OXA-509	WP_063864158.1	carbapenem/cephalosporin/penam
233	OXA-512	WP_063864184.1	OXA-512	WP_063864184.1	carbapenem	OXA-512	WP_063864184.1	carbapenem/cephalosporin/penam
234	OXA-513	WP_063864194.1	OXA-513	WP_063864194.1	beta-lactam	OXA-513	WP_063864194.1	carbapenem/cephalosporin/penam
235	OXA-516	WP_063864208.1	OXA-516	WP_063864208.1	carbapenem	OXA-516	WP_063864208.1	carbapenem/cephalosporin/penam
236	OXA-518	WP_063864216.1	OXA-518	WP_063864216.1	beta-lactam	OXA-518	WP_063864216.1	carbapenem/cephalosporin/penam
237	OXA-53	WP_063864223.1	OXA-53	WP_063864223.1	cephalosporin	OXA-53	AAP43641.1	carbapenem/cephalosporin/penam
238	OXA-55	WP_063864256.1	OXA-55	WP_063864256.1	carbapenem	OXA-55	AAR03105.1	carbapenem/cephalosporin/penam
239	OXA-56	WP_063864264.1	OXA-56	WP_063864264.1	beta-lactam	OXA-56	AAR32651.1	carbapenem/cephalosporin/penam
240	OXA-60	WP_063864500.1	OXA-60	WP_063864500.1	carbapenem	OXA-60	AAQ08905.1	carbapenem/cephalosporin/penam
241	OXA-62	WP_063864527.1	OXA-62	WP_063864527.1	carbapenem	OXA-62	AAR32134.1	carbapenem/cephalosporin/penam
242	OXA-63	WP_063864528.1	OXA-63	WP_063864528.1	beta-lactam	OXA-63	AAU88145.1	carbapenem/cephalosporin/penam
243	OXA-67	WP_063864529.1	OXA-67	WP_063864529.1	carbapenem	OXA-67	ABF50983.1	carbapenem/cephalosporin/penam
244	OXA-7	WP_063864530.1	OXA-7	WP_063864530.1	beta-lactam	OXA-7	CAA53242.1	carbapenem/cephalosporin/penam
245	OXA-73	WP_063864531.1	OXA-73	WP_063864531.1	carbapenem	OXA-73	AAW22056.1	carbapenem/cephalosporin/penam
246	OXA-74	WP_063864532.1	OXA-74	WP_063864532.1	beta-lactam	OXA-74	CAH69530.1	carbapenem/cephalosporin/penam
247	OXA-76	WP_063864533.1	OXA-76	WP_063864533.1	carbapenem	OXA-76	AAX51234.1	carbapenem/cephalosporin/penam
248	OXA-77	WP_063864534.1	OXA-77	WP_063864534.1	carbapenem	OXA-77	AAX51233.1	carbapenem/cephalosporin/penam
249	OXA-79	WP_063864535.1	OXA-79	WP_063864535.1	carbapenem	OXA-79	ABV71246.1	carbapenem/cephalosporin/penam
250	OXA-80	WP_063864536.1	OXA-80	WP_063864536.1	carbapenem	OXA-80	ABV71247.1	carbapenem/cephalosporin/penam
251	OXA-84	WP_063864537.1	OXA-84	WP_063864537.1	carbapenem	OXA-84	ABC26006.1	carbapenem/cephalosporin/penam
252	OXA-86	WP_063864539.1	OXA-86	WP_063864539.1	carbapenem	OXA-86	AAZ78361.1	carbapenem/cephalosporin/penam
253	OXA-88	WP_063864540.1	OXA-88	WP_063864540.1	carbapenem	OXA-88	ABD48715.1	carbapenem/cephalosporin/penam
254	OXA-89	WP_063864541.1	OXA-89	WP_063864541.1	carbapenem	OXA-89	ABE03012.1	carbapenem/cephalosporin/penam
255	OXA-93	WP_063864542.1	OXA-93	WP_063864542.1	carbapenem	OXA-93	ABF47916.1	carbapenem/cephalosporin/penam
256	OXA-96	WP_063864543.1	OXA-96	WP_063864543.1	carbapenem	OXA-96	ABF47919.1	carbapenem/cephalosporin/penam
257	OXA-97	WP_063864544.1	OXA-97	WP_063864544.1	carbapenem	OXA-97	ABO33299.1	carbapenem/cephalosporin/penam
258	OXA-14	WP_064056056.1	OXA-14	WP_064056056.1	cephalosporin	OXA-14	AHX74209.1	carbapenem/cephalosporin/penam
259	OXA-496	WP_064483990.1	OXA-496	WP_064483990.1	carbapenem	OXA-496	WP_064483990.1	carbapenem/cephalosporin/penam
260	OXA-574	WP_064808581.1	OXA-574	WP_064808581.1	beta-lactam	OXA-574	WP_064808581.1	carbapenem/cephalosporin/penam
261	OXA-573	WP_064808881.1	OXA-573	WP_064808881.1	carbapenem	OXA-573	WP_064808881.1	carbapenem/cephalosporin/penam
262	OXA-520	WP_065159014.1	OXA-520	WP_065159014.1	beta-lactam	OXA-520	WP_065159014.1	carbapenem/cephalosporin/penam
263	OXA-521	WP_065419572.1	OXA-521	WP_065419572.1	carbapenem	OXA-521	WP_065419572.1	carbapenem/cephalosporin/penam
264	OXA-784	WP_065980086.1	OXA-784	WP_065980086.1	beta-lactam	OXA-784	WP_065980086.1	carbapenem/cephalosporin/penam
265	OXA-533	WP_068611377.1	OXA-533	WP_068611377.1	carbapenem	OXA-533	WP_068611377.1	carbapenem/cephalosporin/penam
266	OXA-510	WP_068981635.1	OXA-510	WP_068981635.1	carbapenem	OXA-510	WP_068981635.1	carbapenem/cephalosporin/penam
267	OXA-511	WP_068981636.1	OXA-511	WP_068981636.1	carbapenem	OXA-511	WP_068981636.1	carbapenem/cephalosporin/penam
268	OXA-522	WP_068981637.1	OXA-522	WP_068981637.1	carbapenem	OXA-522	WP_068981637.1	carbapenem/cephalosporin/penam
269	OXA-523	WP_068981638.1	OXA-523	WP_068981638.1	carbapenem	OXA-523	WP_068981638.1	carbapenem/cephalosporin/penam
270	OXA-524	WP_068981639.1	OXA-524	WP_068981639.1	carbapenem	OXA-524	WP_068981639.1	carbapenem/cephalosporin/penam
271	OXA-525	WP_068981640.1	OXA-525	WP_068981640.1	carbapenem	OXA-525	WP_068981640.1	carbapenem/cephalosporin/penam
272	OXA-526	WP_068981641.1	OXA-526	WP_068981641.1	carbapenem	OXA-526	WP_068981641.1	carbapenem/cephalosporin/penam
273	OXA-527	WP_068981642.1	OXA-527	WP_068981642.1	beta-lactam	OXA-527	WP_068981642.1	carbapenem/cephalosporin/penam
274	OXA-528	WP_068981643.1	OXA-528	WP_068981643.1	carbapenem	OXA-528	WP_068981643.1	carbapenem/cephalosporin/penam
275	OXA-529	WP_068981644.1	OXA-529	WP_068981644.1	carbapenem	OXA-529	WP_068981644.1	carbapenem/cephalosporin/penam
276	OXA-530	WP_068981645.1	OXA-530	WP_068981645.1	carbapenem	OXA-530	WP_068981645.1	carbapenem/cephalosporin/penam
277	OXA-531	WP_068981646.1	OXA-531	WP_068981646.1	carbapenem	OXA-531	WP_068981646.1	carbapenem/cephalosporin/penam
278	OXA-532	WP_068981647.1	OXA-532	WP_068981647.1	carbapenem	OXA-532	WP_068981647.1	carbapenem/cephalosporin/penam
279	OXA-534	WP_069280711.1	OXA-534	WP_069280711.1	beta-lactam	OXA-534	WP_069280711.1	carbapenem/cephalosporin/penam
280	OXA-536	WP_070064535.1	OXA-536	WP_070064535.1	carbapenem	OXA-536	WP_070064535.1	carbapenem/cephalosporin/penam
281	OXA-537	WP_070064536.1	OXA-537	WP_070064536.1	carbapenem	OXA-537	WP_070064536.1	carbapenem/cephalosporin/penam
282	OXA-658	WP_070210118.1	OXA-658	WP_070210118.1	beta-lactam	OXA-658	WP_070210118.1	carbapenem/cephalosporin/penam
283	OXA-614	WP_070233680.1	OXA-614	WP_070233680.1	beta-lactam	OXA-614	WP_070233680.1	carbapenem/cephalosporin/penam
284	OXA-544	WP_071537493.1	OXA-544	WP_071537493.1	cephalosporin	OXA-544	OPD39420.1	carbapenem/cephalosporin/penam
285	OXA-538	WP_071593227.1	OXA-538	WP_071593227.1	beta-lactam	OXA-538	WP_071593227.1	carbapenem/cephalosporin/penam
286	OXA-539	WP_071593233.1	OXA-539	WP_071593233.1	cephalosporin	OXA-539	WP_071593233.1	carbapenem/cephalosporin/penam
287	OXA-540	WP_071846203.1	OXA-540	WP_071846203.1	beta-lactam	OXA-540	AHN60085.1	carbapenem/cephalosporin/penam
288	OXA-541	WP_071846384.1	OXA-541	WP_071846384.1	beta-lactam	OXA-541	CAQ77073.1	carbapenem/cephalosporin/penam
289	OXA-732	WP_072678505.1	OXA-732	WP_072678505.1	beta-lactam	OXA-732	WP_072678505.1	carbapenem/cephalosporin/penam
290	OXA-817	WP_075040046.1	OXA-817	WP_075040046.1	carbapenem	OXA-817	WP_075040046.1	carbapenem/cephalosporin/penam
291	OXA-1089	WP_075071939.1	OXA-1089	WP_075071939.1	carbapenem			
292	OXA-959	WP_075112279.1	OXA-959	WP_075112279.1	beta-lactam	OXA-726	WP_101150415.1	carbapenem/cephalosporin/penam
293	OXA-114p	WP_076412384.1	OXA-114p	WP_076412384.1	beta-lactam	OXA-114p	WP_076412384.1	carbapenem/cephalosporin/penam
294	OXA-1043	WP_077021671.1	OXA-1043	WP_077021671.1	beta-lactam			
295	OXA-724	WP_077096319.1	OXA-724	WP_077096319.1	beta-lactam	OXA-724	CAB76928.1	carbapenem/cephalosporin/penam
296	OXA-942	WP_078225401.1	OXA-942	WP_078225401.1	beta-lactam	OXA-942	WP_078225401.1	carbapenem/cephalosporin/penam
297	OXA-980	WP_081174195.1	OXA-980	WP_081174195.1	beta-lactam	OXA-778	WP_122630924.1	carbapenem/cephalosporin/penam
298	OXA-290	WP_081398973.1	OXA-290	WP_081398973.1	beta-lactam	OXA-290	ENU29139.1	carbapenem/cephalosporin/penam
299	OXA-289	WP_081400730.1	OXA-289	WP_081400730.1	beta-lactam	OXA-289	WP_081400730.1	carbapenem/cephalosporin/penam
300	OXA-671	WP_081401608.1	OXA-671	WP_081401608.1	carbapenem	OXA-671	WP_081401608.1	carbapenem/cephalosporin/penam
301	OXA-674	WP_081406929.1	OXA-674	WP_081406929.1	carbapenem	OXA-674	WP_081406929.1	carbapenem/cephalosporin/penam
302	OXA-517	WP_085562384.1	OXA-517	WP_085562384.1	beta-lactam	OXA-517	WP_085562384.1	carbapenem/cephalosporin/penam
303	OXA-545	WP_085562402.1	OXA-545	WP_085562402.1	beta-lactam	OXA-545	WP_085562402.1	carbapenem/cephalosporin/penam
304	OXA-547	WP_085562403.1	OXA-547	WP_085562403.1	beta-lactam	OXA-547	WP_085562403.1	carbapenem/cephalosporin/penam
305	OXA-554	WP_085562408.1	OXA-554	WP_085562408.1	carbapenem	OXA-554	WP_085562408.1	carbapenem/cephalosporin/penam
306	OXA-555	WP_085562409.1	OXA-555	WP_085562409.1	carbapenem	OXA-555	WP_085562409.1	carbapenem/cephalosporin/penam
307	OXA-556	WP_085562410.1	OXA-556	WP_085562410.1	carbapenem	OXA-556	WP_085562410.1	carbapenem/cephalosporin/penam
308	OXA-557	WP_085562411.1	OXA-557	WP_085562411.1	carbapenem	OXA-557	WP_085562411.1	carbapenem/cephalosporin/penam
309	OXA-558	WP_085562412.1	OXA-558	WP_085562412.1	carbapenem	OXA-558	WP_085562412.1	carbapenem/cephalosporin/penam
310	OXA-559	WP_085562413.1	OXA-559	WP_085562413.1	carbapenem	OXA-559	WP_085562413.1	carbapenem/cephalosporin/penam
311	OXA-560	WP_085562414.1	OXA-560	WP_085562414.1	carbapenem	OXA-560	WP_085562414.1	carbapenem/cephalosporin/penam
312	OXA-561	WP_085562415.1	OXA-561	WP_085562415.1	carbapenem	OXA-561	WP_085562415.1	carbapenem/cephalosporin/penam
313	OXA-562	WP_085562416.1	OXA-562	WP_085562416.1	carbapenem	OXA-562	WP_085562416.1	carbapenem/cephalosporin/penam
314	OXA-563	WP_085562417.1	OXA-563	WP_085562417.1	carbapenem	OXA-563	WP_085562417.1	carbapenem/cephalosporin/penam
315	OXA-564	WP_085562418.1	OXA-564	WP_085562418.1	carbapenem	OXA-564	WP_085562418.1	carbapenem/cephalosporin/penam
316	OXA-565	WP_085562421.1	OXA-565	WP_085562421.1	carbapenem	OXA-565	WP_085562421.1	carbapenem/cephalosporin/penam
317	OXA-939	WP_086261538.1	OXA-939	WP_086261538.1	beta-lactam	OXA-939	WP_086261538.1	carbapenem/cephalosporin/penam
318	OXA-938	WP_086263559.1	OXA-938	WP_086263559.1	beta-lactam	OXA-938	WP_086263559.1	carbapenem/cephalosporin/penam
319	OXA-832	WP_086264536.1	OXA-832	WP_086264536.1	beta-lactam	OXA-832	WP_086264536.1	carbapenem/cephalosporin/penam
320	OXA-941	WP_086395021.1	OXA-941	WP_086395021.1	beta-lactam	OXA-941	WP_086395021.1	carbapenem/cephalosporin/penam
321	OXA-943	WP_086398931.1	OXA-943	WP_086398931.1	beta-lactam	OXA-943	WP_086398931.1	carbapenem/cephalosporin/penam
322	OXA-940	WP_086442870.1	OXA-940	WP_086442870.1	beta-lactam	OXA-940	WP_086442870.1	carbapenem/cephalosporin/penam
323	OXA-842	WP_087088911.1	OXA-842	WP_087088911.1	beta-lactam	OXA-842	WP_087088911.1	carbapenem/cephalosporin/penam
324	OXA-653	WP_087554513.1	OXA-653	WP_087554513.1	carbapenem	OXA-653	WP_087554513.1	carbapenem/cephalosporin/penam
325	OXA-548	WP_087587939.1	OXA-548	WP_087587939.1	beta-lactam	OXA-548	WP_087587939.1	carbapenem/cephalosporin/penam
326	OXA-549	WP_087587940.1	OXA-549	WP_087587940.1	beta-lactam	OXA-549	WP_087587940.1	carbapenem/cephalosporin/penam
327	OXA-550	WP_087587941.1	OXA-550	WP_087587941.1	beta-lactam	OXA-550	WP_087587941.1	carbapenem/cephalosporin/penam
328	OXA-551	WP_087587942.1	OXA-551	WP_087587942.1	beta-lactam	OXA-551	WP_087587942.1	carbapenem/cephalosporin/penam
329	OXA-552	WP_087587943.1	OXA-552	WP_087587943.1	beta-lactam	OXA-552	WP_087587943.1	carbapenem/cephalosporin/penam
330	OXA-553	WP_087587944.1	OXA-553	WP_087587944.1	beta-lactam	OXA-553	WP_087587944.1	carbapenem/cephalosporin/penam
331	OXA-546	WP_087587945.1	OXA-546	WP_087587945.1	beta-lactam	OXA-546	WP_087587945.1	carbapenem/cephalosporin/penam
332	OXA-576	WP_087696200.1	OXA-576	WP_087696200.1	beta-lactam	OXA-576	WP_087696200.1	carbapenem/cephalosporin/penam
333	OXA-624	WP_088303859.1	OXA-624	WP_088303859.1	beta-lactam	OXA-624	WP_088303859.1	carbapenem/cephalosporin/penam
334	OXA-535	WP_089067012.1	OXA-535	WP_089067012.1	beta-lactam	OXA-535	AOQ26572.1	carbapenem/cephalosporin/penam
335	OXA-666	WP_092689909.1	OXA-666	WP_092689909.1	beta-lactam	OXA-666	WP_092689909.1	carbapenem/cephalosporin/penam
336	OXA-514	WP_094009803.1	OXA-514	WP_094009803.1	beta-lactam	OXA-514	WP_094009803.1	carbapenem/cephalosporin/penam
337	OXA-515	WP_094009804.1	OXA-515	WP_094009804.1	beta-lactam	OXA-515	WP_094009804.1	carbapenem/cephalosporin/penam
338	OXA-519	WP_094009808.1	OXA-519	WP_094009808.1	beta-lactam	OXA-519	WP_094009808.1	carbapenem/cephalosporin/penam
339	OXA-566	WP_094009811.1	OXA-566	WP_094009811.1	beta-lactam	OXA-566	WP_094009811.1	carbapenem/cephalosporin/penam
340	OXA-198	WP_094865115.1	OXA-198	WP_094865115.1	carbapenem	OXA-198	ADT70779.1	carbapenem/cephalosporin/penam
341	OXA-667	WP_096735335.1	OXA-667	WP_096735335.1	carbapenem	OXA-667	WP_096735335.1	carbapenem/cephalosporin/penam
342	OXA-427	WP_096807440.1	OXA-427	WP_096807440.1	carbapenem	OXA-427	ARO85965.1	carbapenem/cephalosporin/penam
343	OXA-368	WP_099156044.1	OXA-368	WP_099156044.1	beta-lactam	OXA-368	AMB19637.1	carbapenem/cephalosporin/penam
344	OXA-567	WP_099156052.1	OXA-567	WP_099156052.1	beta-lactam	OXA-567	WP_099156052.1	carbapenem/cephalosporin/penam
345	OXA-568	WP_099337823.1	OXA-568	WP_099337823.1	beta-lactam	OXA-568	WP_099337823.1	carbapenem/cephalosporin/penam
346	OXA-925	WP_100507493.1	OXA-925	WP_100507493.1	beta-lactam	OXA-925	WP_100507493.1	carbapenem/cephalosporin/penam
347	OXA-895	WP_100886243.1	OXA-895	WP_100886243.1	beta-lactam	OXA-895	WP_100886243.1	carbapenem/cephalosporin/penam
348	OXA-726	WP_101150415.1	OXA-726	WP_101150415.1	beta-lactam	OXA-726	WP_101150415.1	carbapenem/cephalosporin/penam
349	OXA-569	WP_102607461.1	OXA-569	WP_102607461.1	beta-lactam	OXA-569	WP_102607461.1	carbapenem/cephalosporin/penam
350	OXA-570	WP_102607462.1	OXA-570	WP_102607462.1	carbapenem	OXA-570	WP_102607462.1	carbapenem/cephalosporin/penam
351	OXA-571	WP_102607463.1	OXA-571	WP_102607463.1	carbapenem	OXA-571	WP_102607463.1	carbapenem/cephalosporin/penam
352	OXA-572	WP_102607464.1	OXA-572	WP_102607464.1	beta-lactam	OXA-572	WP_102607464.1	carbapenem/cephalosporin/penam
353	OXA-575	WP_104009853.1	OXA-575	WP_104009853.1	carbapenem	OXA-575	WP_104009853.1	carbapenem/cephalosporin/penam
354	OXA-1036	WP_104442312.1	OXA-1036	WP_104442312.1	carbapenem			
355	OXA-542	WP_109545048.1	OXA-542	WP_109545048.1	carbapenem	OXA-542	WP_109545048.1	carbapenem/cephalosporin/penam
356	OXA-649	WP_109545071.1	OXA-649	WP_109545071.1	carbapenem	OXA-649	WP_109545071.1	carbapenem/cephalosporin/penam
357	OXA-641	WP_109545072.1	OXA-641	WP_109545072.1	carbapenem	OXA-641	WP_109545072.1	carbapenem/cephalosporin/penam
358	OXA-619	WP_109545075.1	OXA-619	WP_109545075.1	beta-lactam	OXA-619	WP_109545075.1	carbapenem/cephalosporin/penam
359	OXA-620	WP_109545076.1	OXA-620	WP_109545076.1	beta-lactam	OXA-620	WP_109545076.1	carbapenem/cephalosporin/penam
360	OXA-636	WP_109545077.1	OXA-636	WP_109545077.1	beta-lactam	OXA-636	WP_109545077.1	carbapenem/cephalosporin/penam
361	OXA-635	WP_109545078.1	OXA-635	WP_109545078.1	beta-lactam	OXA-635	WP_109545078.1	carbapenem/cephalosporin/penam
362	OXA-631	WP_109545079.1	OXA-631	WP_109545079.1	beta-lactam	OXA-631	WP_109545079.1	carbapenem/cephalosporin/penam
363	OXA-626	WP_109545080.1	OXA-626	WP_109545080.1	beta-lactam	OXA-626	WP_109545080.1	carbapenem/cephalosporin/penam
364	OXA-627	WP_109545081.1	OXA-627	WP_109545081.1	beta-lactam	OXA-627	WP_109545081.1	carbapenem/cephalosporin/penam
365	OXA-633	WP_109545082.1	OXA-633	WP_109545082.1	beta-lactam	OXA-633	WP_109545082.1	carbapenem/cephalosporin/penam
366	OXA-628	WP_109545083.1	OXA-628	WP_109545083.1	beta-lactam	OXA-628	WP_109545083.1	carbapenem/cephalosporin/penam
367	OXA-634	WP_109545084.1	OXA-634	WP_109545084.1	beta-lactam	OXA-634	WP_109545084.1	carbapenem/cephalosporin/penam
368	OXA-630	WP_109545085.1	OXA-630	WP_109545085.1	beta-lactam	OXA-630	WP_109545085.1	carbapenem/cephalosporin/penam
369	OXA-632	WP_109545086.1	OXA-632	WP_109545086.1	beta-lactam	OXA-632	WP_109545086.1	carbapenem/cephalosporin/penam
370	OXA-608	WP_109545087.1	OXA-608	WP_109545087.1	beta-lactam	OXA-608	WP_109545087.1	carbapenem/cephalosporin/penam
371	OXA-584	WP_109545088.1	OXA-584	WP_109545088.1	beta-lactam	OXA-584	WP_109545088.1	carbapenem/cephalosporin/penam
372	OXA-585	WP_109545089.1	OXA-585	WP_109545089.1	beta-lactam	OXA-585	WP_109545089.1	carbapenem/cephalosporin/penam
373	OXA-586	WP_109545090.1	OXA-586	WP_109545090.1	beta-lactam	OXA-586	WP_109545090.1	carbapenem/cephalosporin/penam
374	OXA-577	WP_109545091.1	OXA-577	WP_109545091.1	beta-lactam	OXA-577	WP_109545091.1	carbapenem/cephalosporin/penam
375	OXA-587	WP_109545092.1	OXA-587	WP_109545092.1	beta-lactam	OXA-587	WP_109545092.1	carbapenem/cephalosporin/penam
376	OXA-596	WP_109545093.1	OXA-596	WP_109545093.1	beta-lactam	OXA-596	WP_109545093.1	carbapenem/cephalosporin/penam
377	OXA-600	WP_109545094.1	OXA-600	WP_109545094.1	beta-lactam	OXA-600	WP_109545094.1	carbapenem/cephalosporin/penam
378	OXA-588	WP_109545095.1	OXA-588	WP_109545095.1	beta-lactam	OXA-588	WP_109545095.1	carbapenem/cephalosporin/penam
379	OXA-589	WP_109545096.1	OXA-589	WP_109545096.1	beta-lactam	OXA-589	WP_109545096.1	carbapenem/cephalosporin/penam
380	OXA-593	WP_109545097.1	OXA-593	WP_109545097.1	beta-lactam	OXA-593	WP_109545097.1	carbapenem/cephalosporin/penam
381	OXA-599	WP_109545098.1	OXA-599	WP_109545098.1	beta-lactam	OXA-599	WP_109545098.1	carbapenem/cephalosporin/penam
382	OXA-610	WP_109545099.1	OXA-610	WP_109545099.1	beta-lactam	OXA-610	WP_109545099.1	carbapenem/cephalosporin/penam
383	OXA-612	WP_109545100.1	OXA-612	WP_109545100.1	beta-lactam	OXA-612	WP_109545100.1	carbapenem/cephalosporin/penam
384	OXA-598	WP_109545101.1	OXA-598	WP_109545101.1	beta-lactam	OXA-598	WP_109545101.1	carbapenem/cephalosporin/penam
385	OXA-607	WP_109545102.1	OXA-607	WP_109545102.1	beta-lactam	OXA-607	WP_109545102.1	carbapenem/cephalosporin/penam
386	OXA-590	WP_109545103.1	OXA-590	WP_109545103.1	beta-lactam	OXA-590	WP_109545103.1	carbapenem/cephalosporin/penam
387	OXA-604	WP_109545104.1	OXA-604	WP_109545104.1	beta-lactam	OXA-604	WP_109545104.1	carbapenem/cephalosporin/penam
388	OXA-602	WP_109545105.1	OXA-602	WP_109545105.1	beta-lactam	OXA-602	WP_109545105.1	carbapenem/cephalosporin/penam
389	OXA-606	WP_109545106.1	OXA-606	WP_109545106.1	beta-lactam	OXA-606	WP_109545106.1	carbapenem/cephalosporin/penam
390	OXA-582	WP_109545107.1	OXA-582	WP_109545107.1	beta-lactam	OXA-582	WP_109545107.1	carbapenem/cephalosporin/penam
391	OXA-605	WP_109545108.1	OXA-605	WP_109545108.1	beta-lactam	OXA-605	WP_109545108.1	carbapenem/cephalosporin/penam
392	OXA-640	WP_109545109.1	OXA-640	WP_109545109.1	beta-lactam	OXA-640	WP_109545109.1	carbapenem/cephalosporin/penam
393	OXA-616	WP_109545110.1	OXA-616	WP_109545110.1	beta-lactam	OXA-616	WP_109545110.1	carbapenem/cephalosporin/penam
394	OXA-613	WP_109545111.1	OXA-613	WP_109545111.1	beta-lactam	OXA-613	WP_109545111.1	carbapenem/cephalosporin/penam
395	OXA-622	WP_109545112.1	OXA-622	WP_109545112.1	beta-lactam	OXA-622	WP_109545112.1	carbapenem/cephalosporin/penam
396	OXA-618	WP_109545113.1	OXA-618	WP_109545113.1	beta-lactam	OXA-618	WP_109545113.1	carbapenem/cephalosporin/penam
397	OXA-617	WP_109545114.1	OXA-617	WP_109545114.1	beta-lactam	OXA-617	WP_109545114.1	carbapenem/cephalosporin/penam
398	OXA-615	WP_109545115.1	OXA-615	WP_109545115.1	beta-lactam	OXA-615	WP_109545115.1	carbapenem/cephalosporin/penam
399	OXA-621	WP_109545116.1	OXA-621	WP_109545116.1	beta-lactam	OXA-621	WP_109545116.1	carbapenem/cephalosporin/penam
