Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
1028110136|WP_063864529.1|1|1|blaOXA-67|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-67	blaOXA-67	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-67	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864529.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-67	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110159|WP_063864530.1|1|1|blaOXA-7|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-7	blaOXA-7	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-7	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063864530.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-7	NF000386.2	OXA-10 family class D beta-lactamase
1028110161|WP_063864531.1|1|1|blaOXA-73|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-73	blaOXA-73	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-73	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063864531.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-73	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028110162|WP_063864532.1|1|1|blaOXA-74|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-74	blaOXA-74	OXA-10 family class D beta-lactamase OXA-74	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063864532.1	OXA-10 family class D beta-lactamase OXA-74	NF000386.2	OXA-10 family class D beta-lactamase
1028110163|WP_063864533.1|1|1|blaOXA-76|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-76	blaOXA-76	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-76	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864533.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-76	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110164|WP_063864534.1|1|1|blaOXA-77|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-77	blaOXA-77	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-77	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864534.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-77	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110165|WP_063864535.1|1|1|blaOXA-79|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-79	blaOXA-79	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-79	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864535.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-79	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110166|WP_063864536.1|1|1|blaOXA-80|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-80	blaOXA-80	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-80	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864536.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-80	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110167|WP_063864537.1|1|1|blaOXA-84|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-84	blaOXA-84	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-84	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864537.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-84	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110169|WP_063864539.1|1|1|blaOXA-86|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-86	blaOXA-86	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-86	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864539.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-86	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110170|WP_063864540.1|1|1|blaOXA-88|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-88	blaOXA-88	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-88	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864540.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-88	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110171|WP_063864541.1|1|1|blaOXA-89|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-89	blaOXA-89	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-89	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864541.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-89	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110172|WP_063864542.1|1|1|blaOXA-93|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-93	blaOXA-93	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-93	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864542.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-93	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028110173|WP_063864543.1|1|1|blaOXA-96|blaOXA-58_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-58_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-96	blaOXA-96	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-96	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_063864543.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-96	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
1028110174|WP_063864544.1|1|1|blaOXA-97|blaOXA-58_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-58_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-97	blaOXA-97	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-97	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_063864544.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-97	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
1029192944|WP_064056056.1|1|1|blaOXA-14|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_extended-spectrum_class_D_beta-lactamase_OXA-14	blaOXA-14	OXA-10 family extended-spectrum class D beta-lactamase OXA-14	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_064056056.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-14	NF000386.2	OXA-10 family class D beta-lactamase
1034009413|WP_064483990.1|1|1|blaOXA-496|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-496	blaOXA-496	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-496	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	279	279	100.00	100.00	279	WP_064483990.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-496	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
1039445484|WP_064808581.1|1|1|blaOXA-574|blaOXA-22_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-22_family_class_D_beta-lactamase_OXA-574	blaOXA-574	OXA-22 family class D beta-lactamase OXA-574	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	279	279	100.00	100.00	279	WP_064808581.1	OXA-22 family class D beta-lactamase OXA-574	NF033509.1	OXA-22 family class D beta-lactamase
1039445784|WP_064808881.1|1|1|blaOXA-573|blaOXA-60_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-60_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-573	blaOXA-573	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-573	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	271	271	100.00	100.00	271	WP_064808881.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-573	NF000395.3	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
1040941160|WP_065159014.1|1|1|blaOXA-520|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-520	blaOXA-520	OXA-10 family class D beta-lactamase OXA-520	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_065159014.1	OXA-10 family class D beta-lactamase OXA-520	NF000386.2	OXA-10 family class D beta-lactamase
1044690747|WP_065419572.1|1|1|blaOXA-521|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-521	blaOXA-521	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-521	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_065419572.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-521	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1053179495|WP_065980086.1|1|1|blaOXA-784|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-784	blaOXA-784	OXA-61 family class D beta-lactamase OXA-784	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_065980086.1	OXA-61 family class D beta-lactamase OXA-784	NF000435.2	OXA-61 family class D beta-lactamase
1057241290|WP_068611377.1|1|1|blaOXA-533|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-533	blaOXA-533	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-533	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_068611377.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-533	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1058244003|WP_068981635.1|1|1|blaOXA-510|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-510	blaOXA-510	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-510	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981635.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-510	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244018|WP_068981636.1|1|1|blaOXA-511|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-511	blaOXA-511	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-511	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981636.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-511	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244029|WP_068981637.1|1|1|blaOXA-522|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-522	blaOXA-522	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-522	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_068981637.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-522	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1058244040|WP_068981638.1|1|1|blaOXA-523|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-523	blaOXA-523	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-523	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981638.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-523	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244051|WP_068981639.1|1|1|blaOXA-524|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-524	blaOXA-524	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-524	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981639.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-524	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244060|WP_068981640.1|1|1|blaOXA-525|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-525	blaOXA-525	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-525	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981640.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-525	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244073|WP_068981641.1|1|1|blaOXA-526|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-526	blaOXA-526	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-526	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_068981641.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-526	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1058244086|WP_068981642.1|1|1|blaOXA-527|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-527	blaOXA-527	class D beta-lactamase OXA-527	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_068981642.1	class D beta-lactamase OXA-527	NF012161.0	class D beta-lactamase
1058244099|WP_068981643.1|1|1|blaOXA-528|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-528	blaOXA-528	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-528	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981643.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-528	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244112|WP_068981644.1|1|1|blaOXA-529|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-529	blaOXA-529	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-529	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981644.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-529	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244127|WP_068981645.1|1|1|blaOXA-530|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-530	blaOXA-530	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-530	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981645.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-530	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244138|WP_068981646.1|1|1|blaOXA-531|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-531	blaOXA-531	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-531	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981646.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-531	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1058244149|WP_068981647.1|1|1|blaOXA-532|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-532	blaOXA-532	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-532	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_068981647.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-532	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1062509493|WP_069280711.1|1|1|blaOXA-534|blaOXA-1_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-1_family_class_D_beta-lactamase_OXA-534	blaOXA-534	OXA-1 family class D beta-lactamase OXA-534	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_069280711.1	OXA-1 family class D beta-lactamase OXA-534	NF000388.2	OXA-1 family class D beta-lactamase
1073722255|WP_070064535.1|1|1|blaOXA-536|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-536	blaOXA-536	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-536	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_070064535.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-536	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1073722256|WP_070064536.1|1|1|blaOXA-537|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-537	blaOXA-537	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-537	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_070064536.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-537	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
1079806831|WP_070210118.1|1|1|blaOXA-658|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-658	blaOXA-658	OXA-184 family class D beta-lactamase OXA-658	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	239	239	100.00	100.00	239	WP_070210118.1	OXA-184 family class D beta-lactamase OXA-658	NF000461.2	OXA-184 family class D beta-lactamase
1079831656|WP_070233680.1|1|1|blaOXA-614|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-614	blaOXA-614	OXA-184 family class D beta-lactamase OXA-614	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_070233680.1	OXA-184 family class D beta-lactamase OXA-614	NF000461.2	OXA-184 family class D beta-lactamase
1101987535|WP_071537493.1|1|1|blaOXA-544|blaOXA-2_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-544	blaOXA-544	OXA-2 family class D beta-lactamase OXA-544	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_071537493.1	OXA-2 family class D beta-lactamase OXA-544	NF000267.2	OXA-2 family class D beta-lactamase
1102724731|WP_071593227.1|1|1|blaOXA-538|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-538	blaOXA-538	OXA-48 family class D beta-lactamase OXA-538	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_071593227.1	OXA-48 family class D beta-lactamase OXA-538	NF000387.2	OXA-48 family class D beta-lactamase
1102724737|WP_071593233.1|1|1|blaOXA-539|blaOXA-2_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-2_family_inhibitor-resistant_extended-spectrum_class_D_beta-lactamase_OXA-539	blaOXA-539	OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase OXA-539	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	276	276	100.00	100.00	276	WP_071593233.1	OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase OXA-539	NF000267.2	OXA-2 family class D beta-lactamase
1105502051|WP_071846203.1|1|1|blaOXA-540|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-540	blaOXA-540	OXA-2 family class D beta-lactamase OXA-540	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_071846203.1	OXA-2 family class D beta-lactamase OXA-540	NF000267.2	OXA-2 family class D beta-lactamase
1105502234|WP_071846384.1|1|1|blaOXA-541|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-541	blaOXA-541	OXA-2 family class D beta-lactamase OXA-541	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_071846384.1	OXA-2 family class D beta-lactamase OXA-541	NF000267.2	OXA-2 family class D beta-lactamase
1119781282|WP_072678505.1|1|1|blaOXA-732|blaOXA-732_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-732	blaOXA-732	class D beta-lactamase OXA-732	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_072678505.1	class D beta-lactamase OXA-732	NF040805.1	OXA-732 family class D beta-lactamase
1125678991|WP_075040046.1|1|1|blaOXA-817|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-817	blaOXA-817	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-817	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_075040046.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-817	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1125744093|WP_075071939.1|1|1|blaOXA-1089|blaOXA-1089_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1089	blaOXA-1089	carbapenem-hydrolyzing class D beta-lactamase OXA-1089	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	289	289	100.00	100.00	289	WP_075071939.1	carbapenem-hydrolyzing class D beta-lactamase OXA-1089	NF040804.1	OXA-1089 family carbapenem-hydrolyzing class D beta-lactamase
1125797653|WP_075112279.1|1|1|blaOXA-959|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-959	blaOXA-959	OXA-12 family class D beta-lactamase OXA-959	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_075112279.1	OXA-12 family class D beta-lactamase OXA-959	NF033702.0	OXA-12 family class D beta-lactamase
1134169699|WP_076412384.1|1|1|blaOXA-114p|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114p	blaOXA-114p	class D beta-lactamase OXA-114p	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_076412384.1	class D beta-lactamase OXA-114p	NF033818.0	OXA-114 family class D beta-lactamase
1142774804|WP_077021671.1|1|1|blaOXA-1043|blaOXA-1043_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1043	blaOXA-1043	class D beta-lactamase OXA-1043	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	268	268	100.00	100.00	268	WP_077021671.1	class D beta-lactamase OXA-1043	NF040600.1	OXA-1043 family class D beta-lactamase
1143105852|WP_077096319.1|1|1|blaOXA-724|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_AmpH/OXA-724	blaOXA-724	OXA-12 family class D beta-lactamase AmpH/OXA-724	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_077096319.1	OXA-12 family class D beta-lactamase AmpH/OXA-724	NF033702.0	OXA-12 family class D beta-lactamase
