Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gb|AGZ83156.1|ARO:3001547|OXA-360	blaOXA-360	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-360	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_048880934.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-360	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHA11124.1|ARO:3001548|OXA-361	blaOXA-361	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-361	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862731.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-361	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHA11125.1|ARO:3001549|OXA-362	blaOXA-362	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-362	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862732.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-362	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHA11126.1|ARO:3001550|OXA-363	blaOXA-363	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-363	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862733.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-363	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHC31001.1|ARO:3001807|OXA-246	blaOXA-246	OXA-10 family class D beta-lactamase OXA-246	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063862394.1	OXA-10 family class D beta-lactamase OXA-246	NF000386.2	OXA-10 family class D beta-lactamase
gb|AHF71363.1|ARO:3001774|OXA-370	blaOXA-370	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-370	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	265	265	100.00	100.00	265	WP_032495789.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-370	NF000387.2	OXA-48 family class D beta-lactamase
gb|AHI63011.1|ARO:3001552|OXA-365	blaOXA-365	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-365	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862735.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-365	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHK51384.1|ARO:3001573|OXA-387	blaOXA-387	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-387	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862751.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-387	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30272.1|ARO:3001571|OXA-385	blaOXA-385	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-385	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862749.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-385	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30273.1|ARO:3001572|OXA-386	blaOXA-386	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-386	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862750.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-386	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30274.1|ARO:3001560|OXA-374	blaOXA-374	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-374	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_032051604.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-374	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30275.1|ARO:3001561|OXA-375	blaOXA-375	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-375	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862741.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-375	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30276.1|ARO:3001562|OXA-376	blaOXA-376	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-376	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862742.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-376	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30277.1|ARO:3001563|OXA-377	blaOXA-377	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-377	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862743.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-377	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30278.1|ARO:3001564|OXA-378	blaOXA-378	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-378	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_032058439.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-378	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30279.1|ARO:3001565|OXA-379	blaOXA-379	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-379	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862744.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-379	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30280.1|ARO:3001566|OXA-380	blaOXA-380	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-380	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862745.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-380	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30281.1|ARO:3001569|OXA-383	blaOXA-383	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-383	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_024438993.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-383	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30282.1|ARO:3001570|OXA-384	blaOXA-384	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-384	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862748.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-384	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30283.1|ARO:3001576|OXA-390	blaOXA-390	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-390	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862754.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-390	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30284.1|ARO:3001574|OXA-388	blaOXA-388	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-388	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862752.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-388	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30285.1|ARO:3001567|OXA-381	blaOXA-381	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-381	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862746.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-381	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30286.1|ARO:3001568|OXA-382	blaOXA-382	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-382	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862747.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-382	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHL30287.1|ARO:3001575|OXA-389	blaOXA-389	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-389	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862753.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-389	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07452.1|ARO:3001524|OXA-336	blaOXA-336	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-336	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862707.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-336	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07454.1|ARO:3001526|OXA-338	blaOXA-338	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-338	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862710.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-338	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07456.1|ARO:3001527|OXA-339	blaOXA-339	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-339	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862711.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-339	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07458.1|ARO:3001529|OXA-341	blaOXA-341	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-341	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862712.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-341	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07460.1|ARO:3001530|OXA-342	blaOXA-342	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-342	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862713.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-342	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07462.1|ARO:3001532|OXA-344	blaOXA-344	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-344	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862715.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-344	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07463.1|ARO:3001533|OXA-345	blaOXA-345	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-345	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862716.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-345	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN07464.1|ARO:3001534|OXA-346	blaOXA-346	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-346	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862717.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-346	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN53381.1|ARO:3001577|OXA-391	blaOXA-391	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-391	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862755.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-391	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AHN60085.1|ARO:3005314|OXA-540	blaOXA-540	OXA-2 family class D beta-lactamase OXA-540	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_071846203.1	OXA-2 family class D beta-lactamase OXA-540	NF000267.2	OXA-2 family class D beta-lactamase
gb|AHX74209.1|ARO:3001409|OXA-14	blaOXA-14	OXA-10 family extended-spectrum class D beta-lactamase OXA-14	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_064056056.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-14	NF000386.2	OXA-10 family class D beta-lactamase
gb|AID67109.1|ARO:3001495|OXA-233	blaOXA-233	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase OXA-233	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	266	266	100.00	100.00	266	WP_063862149.1	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase OXA-233	NF000386.2	OXA-10 family class D beta-lactamase
gb|AIG22448.1|ARO:3001558|OXA-372	blaOXA-372	carbapenem-hydrolyzing class D beta-lactamase OXA-372	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	257	257	100.00	100.00	257	WP_063862739.1	carbapenem-hydrolyzing class D beta-lactamase OXA-372	NF000415.3	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIG94927.1|ARO:3001606|OXA-415	blaOXA-415	OXA-2 family class D beta-lactamase OXA-415	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_034033256.1	OXA-2 family class D beta-lactamase OXA-415	NF000267.2	OXA-2 family class D beta-lactamase
gb|AIM47095.1|ARO:3001589|OXA-403	blaOXA-403	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-403	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862760.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-403	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIM47096.1|ARO:3001595|OXA-404	blaOXA-404	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-404	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862761.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-404	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIN56719.1|ARO:3002496|OXA-418	blaOXA-418	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-418	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_063862796.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-418	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIS39034.1|ARO:3001587|OXA-401	blaOXA-401	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-401	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862759.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-401	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIS39035.1|ARO:3001588|OXA-402	blaOXA-402	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-402	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021789.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-402	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIS39036.1|ARO:3001586|OXA-400	blaOXA-400	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-400	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862758.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-400	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIT76095.1|ARO:3001584|OXA-398	blaOXA-398	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-398	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862757.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-398	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIT76118.1|ARO:3001583|OXA-397	blaOXA-397	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-397	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_063862756.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-397	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIU44173.1|ARO:3001608|OXA-417	blaOXA-417	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_057089822.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIY30331.1|ARO:3003160|OXA-422	blaOXA-422	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-422	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862828.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-422	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIY30332.1|ARO:3003161|OXA-423	blaOXA-423	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-423	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862833.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-423	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AIZ00987.1|ARO:3003117|OXA-421	blaOXA-421	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-421	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_017386798.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-421	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJA30430.1|ARO:3001596|OXA-405	blaOXA-405	OXA-48 family extended-spectrum class D beta-lactamase OXA-405	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	261	261	100.00	100.00	261	WP_063862762.1	OXA-48 family extended-spectrum class D beta-lactamase OXA-405	NF000387.2	OXA-48 family class D beta-lactamase
gb|AJA32742.1|ARO:3003147|OXA-424	blaOXA-424	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-424	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_038348285.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-424	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJA32743.1|ARO:3003148|OXA-425	blaOXA-425	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-425	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_038348957.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-425	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJA32744.1|ARO:3003149|OXA-426	blaOXA-426	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-426	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_038348482.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-426	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07401.1|ARO:3001605|OXA-414	blaOXA-414	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-414	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862769.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-414	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07402.1|ARO:3001597|OXA-406	blaOXA-406	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-406	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862763.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-406	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07403.1|ARO:3001598|OXA-407	blaOXA-407	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-407	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_039208445.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-407	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07404.1|ARO:3001599|OXA-408	blaOXA-408	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-408	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862764.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-408	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07405.1|ARO:3001600|OXA-409	blaOXA-409	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-409	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862765.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-409	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07406.1|ARO:3001602|OXA-411	blaOXA-411	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-411	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862766.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-411	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07407.1|ARO:3001603|OXA-412	blaOXA-412	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-412	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862767.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-412	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJD07408.1|ARO:3001604|OXA-413	blaOXA-413	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-413	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862768.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-413	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJG01375.1|ARO:3003120|OXA-429	blaOXA-429	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-429	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862915.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-429	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJG01377.1|ARO:3003124|OXA-431	blaOXA-431	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-431	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862945.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-431	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJG01378.1|ARO:3003125|OXA-432	blaOXA-432	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-432	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864076.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-432	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJG01379.1|ARO:3003126|OXA-433	blaOXA-433	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-433	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864077.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-433	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJO16038.1|ARO:3001553|OXA-366	blaOXA-366	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-366	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862736.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-366	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AJT57878.1|ARO:3003162|OXA-435	blaOXA-435	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-435	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063864078.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-435	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AKF41839.1|ARO:3003639|OXA-482	blaOXA-482	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-482	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063864108.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-482	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AKF41840.1|ARO:3003640|OXA-483	blaOXA-483	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063864109.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
