allele,gene_family,refseq_protein_accession,refseq_nucleotide_accession,genbank_protein_accession,genbank_nucleotide_accession,product_name,enhanced_subclass,fasta_header,acc
blaOXA-309,blaOXA,WP_063862593.1,WP_063862593.1,CCW28916.1,HF947514.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-309,Carbapenemase,gb|CCW28916.1|ARO:3001504|OXA-309 [Acinetobacter johnsonii] ,CCW28916.1
blaOXA-333,blaOXA,WP_063862693.1,WP_063862693.1,AGW16415.1,KF203107.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-333,Carbapenemase,gb|AGW16415.1|ARO:3001521|OXA-333 [Acinetobacter johnsonii] ,AGW16415.1
blaOXA-334,blaOXA,WP_063862698.1,WP_063862698.1,AGW16416.1,KF203108.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-334,Carbapenemase,gb|AGW16416.1|ARO:3001522|OXA-334 [Acinetobacter johnsonii] ,AGW16416.1
blaOXA-373,blaOXA,WP_063862740.1,WP_063862740.1,CDM87362.1,HG931732.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-373,Carbapenemase,gb|CDM87362.1|ARO:3001559|OXA-373 [Acinetobacter johnsonii] ,CDM87362.1
blaOXA-498,blaOXA,WP_063454569.1,WP_063454569.1,,LVIB01000024.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-498,Carbapenemase,gb|WP_063454569.1|ARO:3005729|OXA-498 [Acinetobacter johnsonii] ,WP_063454569.1
blaOXA-643,blaOXA,WP_140423312.1,WP_140423312.1,AWB15826.1,MH188852.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-643,Carbapenemase,gb|WP_140423312.1|ARO:3005863|OXA-643 [Acinetobacter johnsonii] ,WP_140423312.1
blaOXA-644,blaOXA,WP_140423313.1,WP_140423313.1,AWB15827.1,MH188853.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-644,Carbapenemase,gb|WP_140423313.1|ARO:3005864|OXA-644 [Acinetobacter johnsonii] ,WP_140423313.1
blaOXA-645,blaOXA,WP_140423314.1,WP_140423314.1,AWB15828.1,MH188854.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-645,Carbapenemase,gb|WP_140423314.1|ARO:3005865|OXA-645 [Acinetobacter johnsonii] ,WP_140423314.1
blaOXA-650,blaOXA,WP_140423317.1,WP_140423317.1,AWI33277.1,MH294485.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-650,Carbapenemase,gb|WP_140423317.1|ARO:3005866|OXA-650 [Acinetobacter johnsonii] ,WP_140423317.1
blaOXA-651,blaOXA,WP_058870660.1,WP_058870660.1,KUG37347.1,LBMO01000061.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-651,Carbapenemase,gb|WP_058870660.1|ARO:3005867|OXA-651 [Acinetobacter johnsonii] ,WP_058870660.1
blaOXA-652,blaOXA,WP_058951457.1,WP_058951457.1,ALV71466.1,CP010350.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-652,Carbapenemase,gb|WP_058951457.1|ARO:3005868|OXA-652 [Acinetobacter johnsonii] ,WP_058951457.1
blaOXA-662,blaOXA,WP_114699274.1,WP_114699274.1,AXC08554.1,MH549402.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-662,Carbapenemase,gb|WP_114699274.1|ARO:3005877|OXA-662 [Acinetobacter johnsonii] ,WP_114699274.1
blaOXA-1000,blaOXA,WP_231869625.1,WP_231869625.1,QWA20199.1,MZ265752.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1000,Carbapenemase,2165384363|WP_231869625.1|1|1|blaOXA-1000|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1000,WP_231869625.1
blaOXA-1002,blaOXA,WP_231869626.1,WP_231869626.1,QWA20202.1,MZ265755.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1002,Carbapenemase,2165384364|WP_231869626.1|1|1|blaOXA-1002|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1002,WP_231869626.1
blaOXA-1003,blaOXA,WP_231869627.1,WP_231869627.1,QWA20203.1,MZ265756.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1003,Carbapenemase,2165384365|WP_231869627.1|1|1|blaOXA-1003|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1003,WP_231869627.1
blaOXA-1007,blaOXA,WP_231869630.1,WP_231869630.1,QWA20207.1,MZ265760.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1007,Carbapenemase,2165384368|WP_231869630.1|1|1|blaOXA-1007|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1007,WP_231869630.1
blaOXA-1008,blaOXA,WP_231869631.1,WP_231869631.1,QWA20208.1,MZ265761.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1008,Carbapenemase,2165384369|WP_231869631.1|1|1|blaOXA-1008|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1008,WP_231869631.1
blaOXA-1009,blaOXA,WP_231869632.1,WP_231869632.1,QWA20209.1,MZ265762.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1009,Carbapenemase,2165384370|WP_231869632.1|1|1|blaOXA-1009|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1009,WP_231869632.1
blaOXA-1010,blaOXA,WP_231869633.1,WP_231869633.1,QWA20210.1,MZ265763.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1010,Carbapenemase,2165384371|WP_231869633.1|1|1|blaOXA-1010|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1010,WP_231869633.1
blaOXA-1050,blaOXA,WP_240067730.1,WP_240067730.1,UHO07589.1,OL901278.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1050,Carbapenemase,2201559189|WP_240067730.1|1|1|blaOXA-1050|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1050,WP_240067730.1
blaOXA-1137,blaOXA,WP_256875619.1,WP_256875619.1,UTS94246.1,ON651493.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1137,Carbapenemase,2282573683|WP_256875619.1|1|1|blaOXA-1137|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1137,WP_256875619.1
blaOXA-1138,blaOXA,WP_256875620.1,WP_256875620.1,UTS94247.1,ON651494.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1138,Carbapenemase,2282573684|WP_256875620.1|1|1|blaOXA-1138|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1138,WP_256875620.1
blaOXA-267,blaOXA,WP_005041180.1,WP_005041180.1,ENV93423.1,APQH01000006.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-267,Carbapenemase,gb|ENV93423.1|ARO:3001723|OXA-267 [Acinetobacter calcoaceticus ANC 3680] ,ENV93423.1
blaOXA-268,blaOXA,WP_003651390.1,WP_003651390.1,ENU09033.1,APOE01000008.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-268,Carbapenemase,gb|ENU09033.1|ARO:3001724|OXA-268 [Acinetobacter calcoaceticus NIPH 13] ,ENU09033.1
blaOXA-269,blaOXA,WP_016138346.1,WP_016138346.1,EOQ63861.1,APQJ01000007.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-269,Carbapenemase,gb|EOQ63861.1|ARO:3001725|OXA-269 [Acinetobacter calcoaceticus ANC 3811] ,EOQ63861.1
blaOXA-270,blaOXA,WP_016141238.1,WP_016141238.1,EOQ69512.1,APQM01000006.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-270,Carbapenemase,gb|EOQ69512.1|ARO:3001726|OXA-270 [Acinetobacter pittii ANC 4050] ,EOQ69512.1
blaOXA-271,blaOXA,WP_016145058.1,WP_016145058.1,EOQ72432.1,APQO01000006.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-271,Carbapenemase,gb|EOQ72432.1|ARO:3001727|OXA-271 [Acinetobacter lactucae] ,EOQ72432.1
blaOXA-272,blaOXA,WP_005076320.1,WP_005076320.1,ENW16915.1,APQP01000003.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-272,Carbapenemase,gb|ENW16915.1|ARO:3001728|OXA-272 [Acinetobacter pittii ATCC 19004 = CIP 70.29] ,ENW16915.1
blaOXA-273,blaOXA,WP_005069609.1,WP_005069609.1,ENW12288.1,APQN01000012.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-273,Carbapenemase,gb|ENW12288.1|ARO:3001729|OXA-273 [Acinetobacter pittii ANC 3678] ,ENW12288.1
blaOXA-304,blaOXA,WP_005304617.1,WP_005304617.1,ENX45276.1,APSC01000007.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-304,Carbapenemase,gb|ENX45276.1|ARO:3001759|OXA-304 [Acinetobacter sp. NIPH 542] ,ENX45276.1
blaOXA-305,blaOXA,WP_004792810.1,WP_004792810.1,ENV02983.1,APPF01000021.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-305,Carbapenemase,gb|ENV02983.1|ARO:3001760|OXA-305 [Acinetobacter sp. NIPH 817] ,ENV02983.1
blaOXA-322,blaOXA,WP_063862632.1,WP_063862632.1,AGW16404.1,KF203096.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-322,Carbapenemase,gb|AGW16404.1|ARO:3001510|OXA-322 [Acinetobacter calcoaceticus] ,AGW16404.1
blaOXA-323,blaOXA,WP_063862638.1,WP_063862638.1,AGW16405.1,KF203097.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-323,Carbapenemase,gb|AGW16405.1|ARO:3001511|OXA-323 [Acinetobacter calcoaceticus] ,AGW16405.1
blaOXA-324,blaOXA,WP_063862643.1,WP_063862643.1,AGW16406.1,KF203098.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-324,Carbapenemase,gb|AGW16406.1|ARO:3001512|OXA-324 [Acinetobacter calcoaceticus] ,AGW16406.1
blaOXA-325,blaOXA,WP_063862646.1,WP_063862646.1,AGW16407.1,KF203099.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-325,Carbapenemase,gb|AGW16407.1|ARO:3001513|OXA-325 [Acinetobacter calcoaceticus] ,AGW16407.1
blaOXA-326,blaOXA,WP_063862651.1,WP_063862651.1,AGW16408.1,KF203100.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-326,Carbapenemase,gb|AGW16408.1|ARO:3001514|OXA-326 [Acinetobacter calcoaceticus] ,AGW16408.1
blaOXA-327,blaOXA,WP_063862656.1,WP_063862656.1,AGW16409.1,KF203101.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-327,Carbapenemase,gb|AGW16409.1|ARO:3001515|OXA-327 [Acinetobacter calcoaceticus] ,AGW16409.1
blaOXA-328,blaOXA,WP_063862662.1,WP_063862662.1,AGW16410.1,KF203102.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-328,Carbapenemase,gb|AGW16410.1|ARO:3001516|OXA-328 [Acinetobacter calcoaceticus] ,AGW16410.1
blaOXA-329,blaOXA,WP_063862667.1,WP_063862667.1,AGW16411.1,KF203103.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-329,Carbapenemase,gb|AGW16411.1|ARO:3001517|OXA-329 [Acinetobacter calcoaceticus] ,AGW16411.1
blaOXA-330,blaOXA,WP_063862674.1,WP_063862674.1,AGW16412.1,KF203104.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-330,Carbapenemase,gb|AGW16412.1|ARO:3001518|OXA-330 [Acinetobacter calcoaceticus] ,AGW16412.1
blaOXA-331,blaOXA,WP_063862682.1,WP_063862682.1,AGW16413.1,KF203105.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-331,Carbapenemase,gb|AGW16413.1|ARO:3001519|OXA-331 [Acinetobacter calcoaceticus] ,AGW16413.1
blaOXA-332,blaOXA,WP_063862690.1,WP_063862690.1,AGW16414.1,KF203106.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-332,Carbapenemase,gb|AGW16414.1|ARO:3001520|OXA-332 [Acinetobacter calcoaceticus] ,AGW16414.1
blaOXA-348,blaOXA,WP_063862718.1,WP_063862718.1,AGW83446.1,KF297577.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-348,Carbapenemase,gb|AGW83446.1|ARO:3001535|OXA-348 [Acinetobacter calcoaceticus] ,AGW83446.1
blaOXA-349,blaOXA,WP_063862719.1,WP_063862719.1,AGW83447.1,KF297578.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-349,Carbapenemase,gb|AGW83447.1|ARO:3001536|OXA-349 [Acinetobacter calcoaceticus] ,AGW83447.1
blaOXA-350,blaOXA,WP_063862721.1,WP_063862721.1,AGW83448.1,KF297579.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350,Carbapenemase,gb|AGW83448.1|ARO:3001537|OXA-350 [Acinetobacter calcoaceticus] ,AGW83448.1
blaOXA-351,blaOXA,WP_063862722.1,WP_063862722.1,AGW83449.1,KF297580.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-351,Carbapenemase,gb|AGW83449.1|ARO:3001538|OXA-351 [Acinetobacter calcoaceticus] ,AGW83449.1
blaOXA-352,blaOXA,WP_063862723.1,WP_063862723.1,AGW83450.1,KF297581.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-352,Carbapenemase,gb|AGW83450.1|ARO:3001539|OXA-352 [Acinetobacter calcoaceticus] ,AGW83450.1
blaOXA-353,blaOXA,WP_063862724.1,WP_063862724.1,AGW83451.1,KF297582.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-353,Carbapenemase,gb|AGW83451.1|ARO:3001540|OXA-353 [Acinetobacter calcoaceticus] ,AGW83451.1
blaOXA-354,blaOXA,WP_063862725.1,WP_063862725.1,AGW83452.1,KF297583.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-354,Carbapenemase,gb|AGW83452.1|ARO:3001541|OXA-354 [Acinetobacter calcoaceticus] ,AGW83452.1
blaOXA-357,blaOXA,WP_063862728.1,WP_063862728.1,AGZ83153.1,KF421160.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-357,Carbapenemase,gb|AGZ83153.1|ARO:3001544|OXA-357 [Acinetobacter calcoaceticus] ,AGZ83153.1
blaOXA-358,blaOXA,WP_063862729.1,WP_063862729.1,AGZ83154.1,KF421161.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-358,Carbapenemase,gb|AGZ83154.1|ARO:3001545|OXA-358 [Acinetobacter calcoaceticus] ,AGZ83154.1
blaOXA-359,blaOXA,WP_063862730.1,WP_063862730.1,AGZ83155.1,KF421162.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-359,Carbapenemase,gb|AGZ83155.1|ARO:3001546|OXA-359 [Acinetobacter calcoaceticus] ,AGZ83155.1
blaOXA-417,blaOXA,WP_057089822.1,WP_057089822.1,AIU44173.1,KM220587.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417,Carbapenemase,gb|AIU44173.1|ARO:3001608|OXA-417 [Acinetobacter calcoaceticus] ,AIU44173.1
blaOXA-421,blaOXA,WP_017386798.1,WP_017386798.1,AIZ00987.1,KM401566.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-421,Carbapenemase,gb|AIZ00987.1|ARO:3003117|OXA-421 [Acinetobacter pittii] ,AIZ00987.1
blaOXA-500,blaOXA,WP_002121386.1,WP_002121386.1,ALP13523.1,KU167108.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-500,Carbapenemase,gb|WP_002121386.1|ARO:3005730|OXA-500 [Acinetobacter calcoaceticus/baumannii complex] ,WP_002121386.1
blaOXA-501,blaOXA,WP_063864113.1,WP_063864113.1,ALP13525.1,KU167110.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-501,Carbapenemase,gb|WP_063864113.1|ARO:3005731|OXA-501 [Acinetobacter pittii] ,WP_063864113.1
blaOXA-502,blaOXA,WP_032003497.1,WP_032003497.1,ALP13526.1,KU167111.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-502,Carbapenemase,gb|WP_032003497.1|ARO:3005732|OXA-502 [Acinetobacter calcoaceticus/baumannii complex] ,WP_032003497.1
blaOXA-503,blaOXA,WP_063864114.1,WP_063864114.1,ALP13524.1,KU167109.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-503,Carbapenemase,gb|WP_063864114.1|ARO:3005733|OXA-503 [Acinetobacter pittii] ,WP_063864114.1
blaOXA-506,blaOXA,WP_032007272.1,WP_032007272.1,AMB17205.1,KU571454.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-506,Carbapenemase,gb|WP_032007272.1|ARO:3005736|OXA-506 [Acinetobacter] ,WP_032007272.1
blaOXA-522,blaOXA,WP_068981637.1,WP_068981637.1,ANW47167.1,KX599408.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-522,Carbapenemase,"gb|WP_068981637.1|ARO:3005752|OXA-522 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_068981637.1
blaOXA-526,blaOXA,WP_068981641.1,WP_068981641.1,ANW47168.1,KX599409.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-526,Carbapenemase,"gb|WP_068981641.1|ARO:3005756|OXA-526 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_068981641.1
blaOXA-533,blaOXA,WP_068611377.1,WP_068611377.1,ANZ80603.1,KX668472.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-533,Carbapenemase,gb|WP_068611377.1|ARO:3005763|OXA-533 [Acinetobacter pittii] ,WP_068611377.1
blaOXA-563,blaOXA,WP_085562417.1,WP_085562417.1,ARB50423.1,KY767021.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-563,Carbapenemase,gb|WP_085562417.1|ARO:3005787|OXA-563 [Acinetobacter pittii] ,WP_085562417.1
blaOXA-564,blaOXA,WP_085562418.1,WP_085562418.1,ARB50424.1,KY767022.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-564,Carbapenemase,gb|WP_085562418.1|ARO:3005788|OXA-564 [Acinetobacter pittii] ,WP_085562418.1
blaOXA-642,blaOXA,WP_014206564.1,WP_014206564.1,AWA42531.1,MH212162.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-642,Carbapenemase,gb|WP_014206564.1|ARO:3005862|OXA-642 [Acinetobacter calcoaceticus/baumannii complex] ,WP_014206564.1
blaOXA-678,blaOXA,WP_122630860.1,WP_122630860.1,AXQ11891.1,MH780099.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-678,Carbapenemase,gb|WP_122630860.1|ARO:3005886|OXA-678 [Acinetobacter pittii] ,WP_122630860.1
blaOXA-777,blaOXA,WP_122630923.1,WP_122630923.1,AYN72943.1,MK087756.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-777,Carbapenemase,gb|WP_122630923.1|ARO:3005981|OXA-777 [Acinetobacter pittii] ,WP_122630923.1
blaOXA-778,blaOXA,WP_122630924.1,WP_122630924.1,AYN72945.1,MK087758.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-778,Carbapenemase,gb|WP_122630924.1|ARO:3005982|OXA-778 [Acinetobacter pittii] ,WP_122630924.1
blaOXA-801,blaOXA,WP_136512092.1,WP_136512092.1,QBQ03026.1,MK645913.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-801,Carbapenemase,gb|WP_136512092.1|ARO:3006001|OXA-801 [Acinetobacter pittii] ,WP_136512092.1
blaOXA-802,blaOXA,WP_136512093.1,WP_136512093.1,QBQ03027.1,MK645914.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-802,Carbapenemase,gb|WP_136512093.1|ARO:3006002|OXA-802 [Acinetobacter pittii] ,WP_136512093.1
blaOXA-803,blaOXA,WP_136512094.1,WP_136512094.1,QBQ03028.1,MK645915.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-803,Carbapenemase,gb|WP_136512094.1|ARO:3006003|OXA-803 [Acinetobacter pittii] ,WP_136512094.1
blaOXA-804,blaOXA,WP_136512095.1,WP_136512095.1,QBQ03029.1,MK645916.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-804,Carbapenemase,gb|WP_136512095.1|ARO:3006004|OXA-804 [Acinetobacter pittii] ,WP_136512095.1
blaOXA-805,blaOXA,WP_136512096.1,WP_136512096.1,QBQ03030.1,MK645917.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-805,Carbapenemase,"gb|WP_136512096.1|ARO:3006005|OXA-805 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_136512096.1
blaOXA-819,blaOXA,WP_032053762.1,WP_032053762.1,QBQ03044.1,MK645931.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-819,Carbapenemase,gb|WP_032053762.1|ARO:3006017|OXA-819 [Acinetobacter calcoaceticus/baumannii complex] ,WP_032053762.1
blaOXA-820,blaOXA,WP_032057042.1,WP_032057042.1,QBQ03045.1,MK645932.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-820,Carbapenemase,gb|WP_032057042.1|ARO:3006018|OXA-820 [Acinetobacter calcoaceticus/baumannii complex] ,WP_032057042.1
blaOXA-821,blaOXA,WP_057061999.1,WP_057061999.1,QBQ03046.1,MK645933.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-821,Carbapenemase,gb|WP_057061999.1|ARO:3006019|OXA-821 [Acinetobacter pittii] ,WP_057061999.1
blaOXA-822,blaOXA,WP_133973918.1,WP_133973918.1,QBX33276.1,MK713326.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-822,Carbapenemase,gb|WP_133973918.1|ARO:3006020|OXA-822 [Acinetobacter calcoaceticus] ,WP_133973918.1
blaOXA-826,blaOXA,WP_140423319.1,WP_140423319.1,QCE31566.1,MK810442.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-826,Carbapenemase,gb|WP_140423319.1|ARO:3006023|OXA-826 [Acinetobacter pittii] ,WP_140423319.1
blaOXA-832,blaOXA,WP_086264536.1,WP_086264536.1,QCU71419.1,MK942060.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-832,Carbapenemase,gb|WP_086264536.1|ARO:3006029|OXA-832 [Acinetobacter pittii] ,WP_086264536.1
blaOXA-840,blaOXA,WP_150823472.1,WP_150823472.1,QEJ74009.1,MN339512.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-840,Carbapenemase,gb|WP_150823472.1|ARO:3006034|OXA-840 [Acinetobacter pittii] ,WP_150823472.1
blaOXA-841,blaOXA,WP_150823473.1,WP_150823473.1,QEJ74010.1,MN339513.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-841,Carbapenemase,gb|WP_150823473.1|ARO:3006035|OXA-841 [Acinetobacter pittii] ,WP_150823473.1
blaOXA-842,blaOXA,WP_087088911.1,WP_087088911.1,QEJ74011.1,MN339514.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-842,Carbapenemase,gb|WP_087088911.1|ARO:3006036|OXA-842 [Acinetobacter pittii] ,WP_087088911.1
blaOXA-843,blaOXA,WP_150823474.1,WP_150823474.1,QEJ74012.1,MN339515.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-843,Carbapenemase,gb|WP_150823474.1|ARO:3006037|OXA-843 [Acinetobacter pittii] ,WP_150823474.1
blaOXA-844,blaOXA,WP_150823475.1,WP_150823475.1,QEJ74013.1,MN339516.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-844,Carbapenemase,gb|WP_150823475.1|ARO:3006038|OXA-844 [Acinetobacter calcoaceticus] ,WP_150823475.1
blaOXA-941,blaOXA,WP_086395021.1,WP_086395021.1,OTU41007.1,NGIW01000033.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-941,Carbapenemase,gb|WP_086395021.1|ARO:3006121|OXA-941 [Acinetobacter pittii] ,WP_086395021.1
blaOXA-942,blaOXA,WP_078225401.1,WP_078225401.1,OTU70526.1,NGJC01000001.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-942,Carbapenemase,gb|WP_078225401.1|ARO:3006122|OXA-942 [Acinetobacter pittii] ,WP_078225401.1
blaOXA-943,blaOXA,WP_086398931.1,WP_086398931.1,OTU51043.1,NGIX01000012.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-943,Carbapenemase,gb|WP_086398931.1|ARO:3006123|OXA-943 [Acinetobacter pittii] ,WP_086398931.1
blaOXA-978,blaOXA,WP_231869604.1,WP_231869604.1,QWA20177.1,MZ265730.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-978,Carbapenemase,2165384342|WP_231869604.1|1|1|blaOXA-978|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-978,WP_231869604.1
blaOXA-979,blaOXA,WP_231869605.1,WP_231869605.1,QWA20178.1,MZ265731.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-979,Carbapenemase,2165384343|WP_231869605.1|1|1|blaOXA-979|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-979,WP_231869605.1
blaOXA-980,blaOXA,WP_081174195.1,WP_081174195.1,QWA20179.1,MZ265732.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-980,Carbapenemase,1173316612|WP_081174195.1|1|1|blaOXA-980|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-980,WP_081174195.1
blaOXA-985,blaOXA,WP_231869610.1,WP_231869610.1,QWA20184.1,MZ265737.1,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-985,Carbapenemase,2165384348|WP_231869610.1|1|1|blaOXA-985|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-985,WP_231869610.1
