ID,Combined_AMR,RGI,AMRFinder,ncbi,subfamily,family,family__color,ncbi_family,card_family,Combined_drug_class,ncbi_drug_class,RGI_drug_class,AMRFinder_drug_class
WP_231869625.1,OXA-1000,,,blaOXA-1000,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1000,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869626.1,OXA-1002,,,blaOXA-1002,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1002,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869627.1,OXA-1003,,,blaOXA-1003,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1003,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869630.1,OXA-1007,,,blaOXA-1007,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1007,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869631.1,OXA-1008,,,blaOXA-1008,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1008,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869632.1,OXA-1009,,,blaOXA-1009,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1009,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869633.1,OXA-1010,,,blaOXA-1010,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1010,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_240067730.1,OXA-1050,,,blaOXA-1050,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1050,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_256875619.1,OXA-1137,,,blaOXA-1137,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1137,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_256875620.1,OXA-1138,,,blaOXA-1138,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1138,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_002121386.1,OXA-500,OXA-500,OXA-500,blaOXA-500,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-500,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_063864113.1,OXA-501,OXA-501,OXA-501,blaOXA-501,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-501,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_032003497.1,OXA-502,OXA-502,OXA-502,blaOXA-502,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-502,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_063864114.1,OXA-503,OXA-503,OXA-503,blaOXA-503,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-503,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_032007272.1,OXA-506,OXA-506,OXA-506,blaOXA-506,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-506,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_068981637.1,OXA-522,OXA-522,OXA-522,blaOXA-522,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-522,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_068981641.1,OXA-526,OXA-526,OXA-526,blaOXA-526,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-526,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_068611377.1,OXA-533,OXA-533,OXA-533,blaOXA-533,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-533,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_085562417.1,OXA-563,OXA-563,OXA-563,blaOXA-563,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-563,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_085562418.1,OXA-564,OXA-564,OXA-564,blaOXA-564,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-564,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_014206564.1,OXA-642,OXA-642,OXA-642,blaOXA-642,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-642,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_122630860.1,OXA-678,OXA-678,OXA-678,blaOXA-678,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-678,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_122630923.1,OXA-777,OXA-777,OXA-777,blaOXA-777,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-777,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_122630924.1,OXA-778,OXA-778,OXA-778,blaOXA-778,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-778,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_136512092.1,OXA-801,OXA-801,OXA-801,blaOXA-801,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-801,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_136512093.1,OXA-802,OXA-802,OXA-802,blaOXA-802,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-802,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_136512094.1,OXA-803,OXA-803,OXA-803,blaOXA-803,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-803,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_136512095.1,OXA-804,OXA-804,OXA-804,blaOXA-804,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-804,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_136512096.1,OXA-805,OXA-805,OXA-805,blaOXA-805,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-805,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_032053762.1,OXA-819,OXA-819,OXA-819,blaOXA-819,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-819,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_032057042.1,OXA-820,OXA-820,OXA-820,blaOXA-820,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-820,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_057061999.1,OXA-821,OXA-821,OXA-821,blaOXA-821,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-821,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_133973918.1,OXA-822,OXA-822,OXA-822,blaOXA-822,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-822,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_140423319.1,OXA-826,OXA-826,OXA-826,blaOXA-826,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-826,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_086264536.1,OXA-832,OXA-832,OXA-832,blaOXA-832,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-832,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_150823472.1,OXA-840,OXA-840,OXA-840,blaOXA-840,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-840,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_150823473.1,OXA-841,OXA-841,OXA-841,blaOXA-841,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-841,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_087088911.1,OXA-842,OXA-842,OXA-842,blaOXA-842,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-842,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_150823474.1,OXA-843,OXA-843,OXA-843,blaOXA-843,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-843,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_150823475.1,OXA-844,OXA-844,OXA-844,blaOXA-844,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-844,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_086395021.1,OXA-941,OXA-941,OXA-941,blaOXA-941,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-941,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_078225401.1,OXA-942,OXA-942,OXA-942,blaOXA-942,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-942,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_086398931.1,OXA-943,OXA-943,OXA-943,blaOXA-943,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-943,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_231869604.1,OXA-978,,,blaOXA-978,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-978,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869605.1,OXA-979,,,blaOXA-979,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-979,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_081174195.1,OXA-980,,,blaOXA-980,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-980,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869610.1,OXA-985,,,blaOXA-985,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-985,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869611.1,OXA-986,,,blaOXA-986,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-986,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869612.1,OXA-987,,,blaOXA-987,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-987,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869613.1,OXA-988,,,blaOXA-988,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-988,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869614.1,OXA-989,,,blaOXA-989,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-989,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869615.1,OXA-990,,,blaOXA-990,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-990,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869617.1,OXA-992,,,blaOXA-992,Carbapenemase,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-992,#73e600,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
AEV91554.1,OXA-215,OXA-215,,,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,#a6ff4d,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENW20318.1,OXA-264,OXA-264,,,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,#a6ff4d,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
RFX69805.1,OXA-265,OXA-265,,,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,#a6ff4d,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_104009853.1,OXA-575,OXA-575,OXA-575,blaOXA-575,Carbapenemase,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-575,#a6ff4d,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_150823476.1,OXA-845,OXA-845,OXA-845,blaOXA-845,Carbapenemase,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-845,#a6ff4d,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
QHT72949.1,OXA-899,OXA-899,,,,OXA-22 family class D beta-lactamase,#94b8b8,,OXA-22 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_102607461.1,OXA-569,OXA-569,OXA-569,blaOXA-569,Beta-lactamase (unknown spectrum),OXA-22 family class D beta-lactamase OXA-569,#94b8b8,OXA-22 family class D beta-lactamase,OXA-22 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_102607464.1,OXA-572,OXA-572,OXA-572,blaOXA-572,Beta-lactamase (unknown spectrum),OXA-22 family class D beta-lactamase OXA-572,#94b8b8,OXA-22 family class D beta-lactamase,OXA-22 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_064808581.1,OXA-574,OXA-574,OXA-574,blaOXA-574,Beta-lactamase (unknown spectrum),OXA-22 family class D beta-lactamase OXA-574,#94b8b8,OXA-22 family class D beta-lactamase,OXA-22 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
AFM55001.1,OXA-228,OXA-228,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AFM55002.1,OXA-230,OXA-230,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AGK07370.1,OXA-257,OXA-257,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENV20093.1,OXA-300,OXA-300,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENV90372.1,OXA-301,OXA-301,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AGW83453.1,OXA-355,OXA-355,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AGW83454.1,OXA-356,OXA-356,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AIN56719.1,OXA-418,OXA-418,,,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#009900,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_042088348.1,OXA-1001,,,blaOXA-1001,Beta-lactamase (unknown spectrum),OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1001,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_256875607.1,OXA-1052,,,blaOXA-1052,Beta-lactamase (unknown spectrum),OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1052,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_100886243.1,OXA-895,OXA-895,OXA-895,blaOXA-895,Carbapenemase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-895,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_151781119.1,OXA-930,OXA-930,OXA-930,blaOXA-930,Carbapenemase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-930,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_190259776.1,OXA-931,OXA-931,OXA-931,blaOXA-931,Carbapenemase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-931,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_213994598.1,OXA-952,,,blaOXA-952,Carbapenemase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-952,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_049044515.1,OXA-953,,,blaOXA-953,Carbapenemase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-953,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_231869608.1,OXA-983,,,blaOXA-983,Carbapenemase,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-983,#009900,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
ENV88740.1,OXA-103,OXA-103,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ACE63186.1,OXA-133,OXA-133,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ACI28281.1,OXA-146,OXA-146,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35869.1,OXA-165,OXA-165,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35870.1,OXA-166,OXA-166,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35871.1,OXA-167,OXA-167,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35872.1,OXA-168,OXA-168,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35873.1,OXA-169,OXA-169,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35874.1,OXA-170,OXA-170,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADK35875.1,OXA-171,OXA-171,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAV65289.1,OXA-23,OXA-23,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AFN65709.1,OXA-239,OXA-239,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAG35609.2,OXA-27,OXA-27,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AJO16038.1,OXA-366,OXA-366,,,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,#cc00cc,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
